,rest_wave,flux
0,98.8988,6.9488143124835156e-12
1,102.1592,-7.962746171567158e-15
2,104.33279999999999,-1.322724407996924e-16
3,106.5064,5.274331806050033e-16
4,108.67999999999999,7.393817284990626e-17
5,110.8536,-5.812531679908517e-16
6,113.0272,-1.8591823541402122e-16
7,115.2008,4.126884976047328e-16
8,117.3744,-3.565137200183686e-16
9,119.548,1.38700348714349e-16
10,123.8952,-1.3630761711704646e-16
11,128.2424,-3.0396390349630297e-16
12,131.5028,1.5945282938568107e-16
13,135.85,-2.242026221045796e-16
14,138.0236,1.069644919481049e-16
15,139.1104,-1.9630570149247027e-16
16,142.3708,-2.0890158244218282e-17
17,143.45759999999999,-2.1992487541100012e-16
18,145.6312,1.7100397944877707e-16
19,148.8916,-1.831094040052699e-16
20,152.152,7.393793658995029e-17
21,155.4124,1.4422115264681445e-16
22,159.7596,4.0021594860498e-17
23,164.1068,1.1687385583757022e-16
24,168.454,4.3677426869305087e-17
25,172.8012,-4.480612577283795e-17
26,176.0616,4.743014570615021e-17
27,180.40879999999999,1.9075281287541243e-16
28,184.756,1.9512220811516808e-16
29,188.0164,7.656346087386505e-17
30,192.3636,1.0435971806817922e-16
31,195.624,6.394295769423675e-17
32,197.7976,1.298447221039225e-16
33,202.1448,-1.8558276425640432e-16
34,207.5788,-3.6237248488720714e-17
35,210.8392,1.0685561004544428e-16
36,215.1864,1.1480994591582535e-16
37,219.5336,2.7517250954330942e-17
38,222.794,1.0402219955535399e-16
39,228.228,3.2484052161321476e-17
40,234.7488,-1.7355861644624636e-16
41,239.096,1.600886642987028e-16
42,242.3564,1.6987362356948602e-16
43,246.7036,1.72356683358099e-16
44,249.964,3.3404369644768743e-16
45,254.31119999999999,5.544434584498777e-16
46,260.832,9.338300599842208e-16
47,267.3528,1.8584649568570556e-15
48,273.8736,3.724793586913868e-15
49,279.3076,4.072427354883038e-15
50,282.568,6.0456201562236224e-15
51,286.91519999999997,8.559868917818289e-15
52,292.3492,1.1115402126893733e-14
53,297.7832,1.482633173360649e-14
54,303.2172,1.7990333442105237e-14
55,308.6512,2.3783335167999333e-14
56,315.17199999999997,3.050755094314341e-14
57,321.6928,3.531785488809346e-14
58,327.1268,4.2697396623501535e-14
59,334.7344,4.6867165678206e-14
60,345.6024,7.76059645624457e-14
61,356.4704,1.0261399656480635e-13
62,367.3384,1.138826986124256e-13
63,378.2064,1.4062814828121256e-13
64,387.9876,1.61506505379253e-13
65,397.7688,1.9646403597291146e-13
