,rest_wave,flux
0,98.8988,6.380388232676729e-12
1,102.1592,-7.129112449290012e-15
2,104.33279999999999,2.387355968076787e-16
3,106.5064,1.2402308597612807e-15
4,108.67999999999999,1.3709430746871401e-15
5,110.8536,2.2287273212882814e-16
6,113.0272,1.246946456986167e-15
7,115.2008,3.440971194730466e-15
8,117.3744,3.443135266074149e-15
9,119.548,5.825786463269665e-15
10,123.8952,3.3302511863203155e-15
11,128.2424,5.257218822759994e-15
12,131.5028,1.2153032849679923e-14
13,135.85,1.5070465583664013e-14
14,138.0236,1.166351354081003e-14
15,139.1104,1.3794910306908582e-14
16,142.3708,1.4178222448730663e-14
17,143.45759999999999,1.8493998979809113e-14
18,145.6312,1.627334066375863e-14
19,148.8916,1.840741123508145e-14
20,152.152,2.5507883421068972e-14
21,155.4124,2.508883795942801e-14
22,159.7596,1.8215044149944563e-14
23,164.1068,2.4916532544091675e-14
24,168.454,2.7541735238484947e-14
25,172.8012,3.532032692523295e-14
26,176.0616,3.107897867548111e-14
27,180.40879999999999,4.237723400888786e-14
28,184.756,4.287908516927398e-14
29,188.0164,3.552569324235314e-14
30,192.3636,3.9201172867691305e-14
31,195.624,5.046215805926059e-14
32,197.7976,6.017027076964124e-14
33,202.1448,4.8870953498132715e-14
34,207.5788,6.304186463845909e-14
35,210.8392,7.168869411741104e-14
36,215.1864,8.518046503591488e-14
37,219.5336,7.654277378474081e-14
38,222.794,7.984399014139214e-14
39,228.228,8.908310036409743e-14
40,234.7488,8.962170122165886e-14
41,239.096,6.173427191220951e-14
42,242.3564,8.49685554627098e-14
43,246.7036,1.0705806748573787e-13
44,249.964,1.1575241951523677e-13
45,254.31119999999999,2.02324907586533e-13
46,260.832,2.705543006435592e-13
47,267.3528,2.7275923830815274e-13
48,273.8736,3.607598376147015e-13
49,279.3076,3.325329406965617e-13
50,282.568,3.5424996922764855e-13
51,286.91519999999997,4.535982236448264e-13
52,292.3492,4.096849190907911e-13
53,297.7832,4.326397159707994e-13
54,303.2172,3.740961260315984e-13
55,308.6512,4.334377247007102e-13
56,315.17199999999997,4.535260342872566e-13
57,321.6928,4.026666996793216e-13
58,327.1268,4.592560822690573e-13
59,334.7344,3.6917956030417293e-13
60,345.6024,4.93764277271177e-13
61,356.4704,5.599084834469362e-13
62,367.3384,4.758924065585905e-13
63,378.2064,4.748590093281298e-13
64,387.9876,5.043787396516967e-13
65,397.7688,5.695695868879265e-13
66,407.55,5.204430757383869e-13
67,418.418,4.70033070930939e-13
68,429.286,5.602170632356373e-13
69,440.154,5.678942474906848e-13
70,449.9352,5.463464438502012e-13
71,458.6296,5.342714166889447e-13
72,467.324,5.351911943176214e-13
73,479.2788,5.237600155478024e-13
74,490.1468,5.520993966825365e-13
75,499.928,5.367515758458882e-13
76,510.796,5.339851337129578e-13
77,521.664,5.247902208913513e-13
78,532.532,5.263359924004765e-13
79,543.4,5.360260580350977e-13
80,549.9208,5.167774737578018e-13
81,556.4416,4.892854368331638e-13
82,565.136,5.331889500840102e-13
83,576.004,5.291440013135913e-13
84,586.872,4.981508585525508e-13
85,597.74,4.700278974545854e-13
86,608.608,5.14802719102217e-13
87,619.476,4.978129299085884e-13
88,630.3439999999999,4.979160896111672e-13
89,641.212,4.970058246022558e-13
90,652.08,4.889337445232965e-13
91,662.948,4.560566210208537e-13
92,673.816,4.866668215058979e-13
93,684.684,4.749497305842552e-13
94,695.552,4.731486736382559e-13
95,706.42,4.775324033490163e-13
96,715.1144,4.709992224593314e-13
97,722.722,4.701804699221465e-13
98,733.59,4.717981866676236e-13
99,744.458,4.3964848962454796e-13
100,755.326,4.677653710192895e-13
101,766.194,4.612480251574175e-13
102,778.1487999999999,4.706182089143866e-13
103,789.0168,4.70012728362209e-13
104,798.798,4.697253241801625e-13
105,809.6659999999999,4.676940790105429e-13
106,820.534,4.737407542894302e-13
107,831.402,4.0165945262609913e-13
108,842.27,4.84794160275937e-13
109,853.138,4.777995750920999e-13
110,864.006,5.010589266480759e-13
111,874.874,5.137717439180907e-13
112,885.742,5.202640167660788e-13
113,896.61,5.233394679946608e-13
114,907.478,5.208975670511721e-13
115,918.346,5.539393820374715e-13
116,929.2139999999999,5.688495695184563e-13
117,940.082,5.959689862761657e-13
118,950.95,6.718863424257408e-13
119,961.818,8.588872630311459e-13
120,972.686,1.2328904304191527e-12
121,983.554,3.6235296614076476e-11
122,994.422,9.318629745701869e-10
123,1005.29,8.140834964983046e-10
124,1016.158,1.0779578025243033e-09
125,1027.026,9.55316521855621e-10
126,1037.894,9.734265279133716e-10
127,1048.762,1.017946389041103e-09
128,1059.6299999999999,6.899119056767237e-10
129,1070.498,6.292423601665783e-10
130,1081.366,1.0700898426018307e-09
131,1092.234,1.090520846614408e-09
132,1103.102,1.0628616729339228e-09
133,1113.97,8.962079952718838e-10
134,1124.838,9.469265582524183e-10
135,1135.706,1.3154311341155405e-09
136,1146.574,1.357110125702586e-09
137,1157.442,1.2567766049054294e-09
138,1168.31,1.2321930175147142e-09
139,1179.1779999999999,1.144341768442313e-09
140,1190.046,1.362379801215799e-09
141,1200.914,1.353570406433689e-09
142,1211.782,1.1537609855259095e-09
143,1222.65,9.727126310163241e-10
144,1233.518,1.4162356744329509e-09
145,1244.386,1.3823106565283854e-09
146,1255.254,1.07862169070263e-09
