,rest_wave,flux
0,112.84,1.0898888284073636e-10
1,116.56,-1.2170901956968664e-13
2,119.03999999999999,-2.0545655418119344e-15
3,121.52,7.151504099467844e-15
4,124.0,8.673966998334482e-16
5,126.48,-6.6518501361083994e-15
6,128.96,-1.835842371087526e-15
7,131.44,3.597476133390488e-15
8,133.92,-2.638716494935304e-15
9,136.4,8.312393109139835e-16
10,141.35999999999999,-4.966302661115992e-16
11,146.32,-5.013290256684117e-16
12,150.04,3.173689057905565e-17
13,155.0,3.0990193745243348e-16
14,157.48,-2.1613440813089833e-16
15,158.72,4.798908248463984e-16
16,162.44,7.786919485215629e-17
17,163.68,8.027240899877243e-16
18,166.16,-7.202475888719323e-16
19,169.88,9.049178339151172e-16
20,173.6,-4.178131527406438e-16
21,177.32,-8.878675879329489e-16
22,182.28,-2.706139321902549e-16
23,187.24,-8.691296250029873e-16
24,192.2,-3.515432300825969e-16
25,197.16,3.8072945417315138e-16
26,200.88,-4.1724163988637618e-16
27,205.84,-1.7386310074654454e-15
28,210.8,-1.8426306386510625e-15
29,214.52,-7.384844360042475e-16
30,219.48,-1.0388903732934542e-15
31,223.2,-6.492682633701502e-16
32,225.68,-1.3294435072242086e-15
33,230.64,1.9429446890699274e-15
34,236.84,3.911409854994011e-16
35,240.56,-1.157143474314397e-15
36,245.52,-1.2575849546316948e-15
37,250.48,-2.914018643267948e-16
38,254.2,-1.1406538349760058e-15
39,260.4,-2.8983600866108327e-16
40,267.84,2.229420795482563e-15
41,272.8,-1.5773905656148753e-15
42,276.52,-1.4770353935985224e-15
43,281.48,-1.0962890350295084e-15
44,285.2,-2.4327598976104296e-15
45,290.16,-1.699103168241445e-15
46,297.6,2.195878360428873e-15
47,305.04,-5.669596415060582e-16
48,312.48,-1.5799896267259345e-15
49,318.68,7.009349466438647e-16
50,322.4,-1.6018350544337459e-15
51,327.36,1.6713054418523645e-15
52,333.56,-1.4259639248020208e-15
53,339.76,2.312898040213357e-15
54,345.96,-1.3368691004335478e-15
55,352.16,-1.7488938999531446e-15
56,359.6,3.88092515766088e-17
57,367.04,3.8864785022472094e-16
58,373.24,-4.205766363240865e-16
59,381.92,-2.8415128051307618e-15
60,394.32,1.7573039524527883e-15
61,406.71999999999997,3.0834302054609906e-15
62,419.12,1.2997185513198124e-15
63,431.52,-2.450149611567468e-15
64,442.68,2.73688627786023e-15
