#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
0.8	0.075	0.1	55.19	6.88	0.48	0.314	10.84	44.48
10.2	0.099	0.14	3.76	18.92	0.021	0.48	4.54	3.71
5.4	0.115	0.17	2.74	4.37	0.048	0.655	1.71	2.69
3.4	0.184	0.34	29.08	8.64	0.06	0.686	2.5	35.7
2.3	0.185	0.44	2.08	2.46	0.075	0.802	19.08	1.92
6.5	0.26	0.47	0.97	2.45	0.081	0.814	4.54	0.96
11.7	0.275	0.53	2.6	13.38	0.093	0.814	8.56	2.86
1.6	0.284	0.59	0.7	4.32	0.104	0.847	1.34	1.44
2.7	0.327	0.66	1.39	6.67	0.109	0.881	6.27	32.47
11.1	0.368	0.74	6	4.85	0.112	0.948	2.82	3.22
5.7	0.435	0.77	3.25	0.35	0.115	1.006	11.16	12.21
1.7	0.449	0.79	12.33	8.35	0.123	1.091	0.61	5.46
5.9	0.564	0.82	5.52	3.99	0.129	1.148	4.79	35.58
20.1	0.616	0.91	34.11	13.61	0.134	1.242	17.56	14.18
1.3	0.638	0.93	14.74	17.61	0.146	1.306	15.46	7.24
27.2	0.682	1.01	7.31	8.5	0.151	1.312	8.73	17.92
999	0.7	1.02	3.49	3.21	0.165	1.367	10.06	3.46
999	0.739	1.12	10.51	13.51	0.165	1.383	7.96	0.45
999	0.749	1.21	76.19	0.43	0.174	1.429	26.7	10.37
999	0.753	1.26	4.22	3.33	0.183	1.481	6.35	75.03
999	0.76	1.76	1.35	5.71	0.189	1.528	0.73	94.07
999	0.8	2.01	5.4	27.76	0.202	1.557	2.52	1.32
999	0.801	2.09	3.9	0.85	0.218	1.617	10.69	5.41
999	0.812	2.11	0.8	2.29	0.227	1.649	999	999
999	0.82	2.27	7.36	3.17	0.236	1.742	999	999
999	0.827	3.33	3.41	3.11	0.246	1.864	999	999
999	0.86	3.47	15.31	3.96	0.253	1.905	999	999
999	0.953	3.48	9.63	10.3	0.263	1.908	999	999
999	0.992	4.76	15.74	18.75	0.266	1.95	999	999
999	1.069	4.94	2.125	7.82	0.267	2.194	999	999
999	1.081	6.72	0.93	11.86	0.27	2.309	999	999
999	1.263	999	0.79	3.29	0.274	2.38	999	999
999	1.283	999	7.92	2.2	0.284	2.647	999	999
999	1.304	999	999	9.49	0.286	2.709	999	999
999	1.335	999	999	3.36	0.287	2.719	999	999
999	1.423	999	999	9.94	0.288	2.771	999	999
999	1.451	999	999	4.71	0.292	2.9	999	999
999	1.533	999	999	15.22	0.292	3.5	999	999
999	1.579	999	999	0.71	0.306	3.54	999	999
999	1.645	999	999	13.19	0.314	3.637	999	999
999	1.697	999	999	15.49	0.319	3.739	999	999
999	1.743	999	999	6.19	0.342	4.646	999	999
999	2.021	999	999	1.91	0.351	5.081	999	999
999	2.023	999	999	4.47	0.354	5.828	999	999
999	2.042	999	999	5.1	0.354	7.162	999	999
999	2.073	999	999	5.06	0.365	7.207	999	999
999	2.112	999	999	1.91	0.365	9.351	999	999
999	2.149	999	999	7.08	0.383	13.894	999	999
