wavelength	flux	unc
3250.4466901759774	0.0	0.0
3251.946218775067	-9.131321162053553e-16	1.8168944973385778e-31
3253.445747374156	-6.659312680215817e-16	2.2754453220901105e-31
3254.9452759732444	5.194903358091867e-16	2.4316370180657905e-31
3256.444804572334	7.06608331247575e-16	2.2789351297188318e-31
3257.9443331714224	8.582882681178563e-16	2.1534997732346766e-31
3259.443861770512	6.656615409674404e-16	1.9406017595775892e-31
3260.943390369601	1.4124122194232748e-16	1.7022276095034355e-31
3262.4429189686894	7.923249420757172e-17	1.5284580412032994e-31
3263.942447567779	6.088780403702883e-16	1.4678094681175392e-31
3265.441976166868	1.0864666091908704e-15	1.4163766531927907e-31
3266.941504765957	5.428989912790658e-16	1.2346648573113237e-31
3268.4410333650458	4.086684625178151e-16	1.108598260360777e-31
3269.940561964135	8.49770240102471e-16	1.0682615243606155e-31
3271.4400905632237	3.7982185552656346e-16	9.675184258856807e-32
3272.9396191623127	4.961006327015025e-16	8.859881360530432e-32
3274.439147761402	1.0448664918106068e-16	7.780748746863977e-32
3275.9386763604907	2.3654580898202493e-16	7.308488013949369e-32
3277.43820495958	2.481510603319153e-16	6.735204121030743e-32
3278.9377335586687	1.0067254584635827e-16	6.112902701430002e-32
3280.4372621577577	3.314029376324455e-16	5.87034884609263e-32
3281.936790756847	1.901490631354684e-16	5.240127533303224e-32
3283.4363193559357	2.963929483400571e-16	4.97598454871865e-32
3284.935847955025	-8.26171055159019e-17	4.3857755942632965e-32
3286.435376554114	1.661532020749053e-16	4.273773610896186e-32
3287.9349051532026	8.748982798110477e-17	3.921107673234237e-32
3289.434433752292	1.7025597820849892e-16	3.6745874060836027e-32
3290.933962351381	8.153907741950849e-17	3.34944537477257e-32
3292.43349095047	2.269454846182855e-16	3.2157355372288244e-32
3293.933019549559	1.6948278271144355e-16	2.9333973694614594e-32
3295.4325481486476	-5.408308676941158e-17	2.6355382681594245e-32
3296.932076747737	5.835100785794018e-17	2.516242048471874e-32
3298.431605346826	-5.3056381921304635e-18	2.347582119015892e-32
3299.931133945915	1.2705982576248156e-16	2.206669145963895e-32
3301.430662545004	2.8119392148342397e-16	2.1368322918975735e-32
3302.9301911440934	1.0969338883197369e-17	1.905894524798233e-32
3304.429719743182	3.176541966176342e-17	1.7507746739589916e-32
3305.929248342271	3.515925237956234e-17	1.666780753678542e-32
3307.4287769413604	-7.980482378211961e-17	1.5008127062859433e-32
3308.928305540449	-5.993378818155835e-17	1.4143728761350202e-32
3310.4278341395384	1.17288983078548e-16	1.3686216074434598e-32
3311.927362738627	1.0938905088664195e-16	1.2746509727339938e-32
3313.426891337716	5.691571052881777e-17	1.1886775199667595e-32
3314.9264199368054	1.1446657665406805e-16	1.1162902105011384e-32
3316.425948535894	2.1944073300094298e-16	1.0763207577108912e-32
3317.9254771349833	9.915204891414289e-17	9.760659302019292e-33
3319.4250057340723	1.5496523356554588e-16	9.242152417291428e-33
3320.924534333161	5.765311557512919e-18	8.23940210411026e-33
3322.4240629322503	4.7860101142056745e-17	7.901695801430464e-33
3323.9235915313393	1.2481667075991536e-16	7.506339582366496e-33
3325.4231201304283	1.20961162072471e-16	7.428175085508568e-33
3326.9226487295173	2.3443347821816216e-15	1.6742015025784893e-32
3328.4221773286067	9.851101596784761e-15	4.9055677351269915e-32
3329.9217059276953	3.5523098558428974e-15	2.623799193824938e-32
3331.4212345267842	-3.327385762413675e-16	5.8039045421911786e-33
3332.9207631258732	3.0036813219503668e-15	2.687303219012998e-32
3334.420291724962	1.6130119353572974e-15	2.0710632360322727e-32
3335.9198203240517	1.7687637448934873e-16	5.685690952800735e-33
3337.41934892314	6.55721490217403e-17	4.341062801362291e-33
3338.918877522229	-1.2384082428459063e-17	3.900147727338313e-33
3340.4184061213186	-1.8860423654669115e-19	3.697388176132915e-33
3341.917934720407	6.193387119804217e-17	3.618981968249099e-33
3343.4174633194966	1.7887950153048674e-16	3.5786915320326805e-33
3344.9169919185856	9.601491019275388e-17	3.266419988368801e-33
3346.416520517674	1.199956636266093e-16	3.083202296061855e-33
3347.9160491167636	5.059014457933901e-17	2.8276288856999654e-33
3349.415577715852	1.069359905318343e-16	2.7733006592118287e-33
3350.9151063149416	1.0212150819920006e-16	2.6000816483845795e-33
3352.4146349140306	2.6818143407951143e-17	2.4028562878486546e-33
3353.914163513119	-1.60006872929277e-17	2.2102980072274787e-33
3355.4136921122085	-4.828483191682312e-18	2.094735892282109e-33
3356.9132207112975	1.0506505357002716e-16	2.1392761079187346e-33
3358.4127493103865	8.545420266806077e-17	1.9631699727632706e-33
3359.9122779094755	6.300315103227721e-17	1.8328197715425717e-33
3361.411806508565	5.2546810539831143e-17	1.7406018723785786e-33
3362.9113351076535	6.045261571408631e-17	1.682434371138061e-33
3364.4108637067425	7.613376313638477e-17	1.6203370453459504e-33
3365.910392305832	7.393526265200663e-17	1.4997485900248614e-33
3367.4099209049205	9.897683882551436e-17	1.4548409405681075e-33
3368.90944950401	5.4677171194069613e-17	1.343225180563639e-33
3370.4089781030984	6.607070070309336e-17	1.2906206145028915e-33
3371.9085067021874	3.937522321690016e-17	1.2079127401435392e-33
3373.408035301277	3.79758751571993e-17	1.1431012162624793e-33
3374.9075639003654	5.719464906626045e-17	1.1114634286585705e-33
3376.407092499455	5.120160972302801e-17	1.0446750538872137e-33
3377.906621098544	5.738380872873908e-17	1.0152235939403382e-33
3379.4061496976324	4.166548450099003e-17	9.3707057651943e-34
3380.905678296722	7.629655889838011e-17	9.25972991492706e-34
3382.405206895811	6.506800559944638e-17	8.667243109559202e-34
3383.9047354949	6.021443401978534e-17	8.244174427503606e-34
3385.404264093989	2.76680268195963e-17	7.612665342285776e-34
3386.9037926930773	1.9293418687537934e-17	7.324436882529036e-34
3388.4033212921668	6.4055834314702e-17	7.265551962392532e-34
3389.9028498912558	7.874838179099139e-17	6.903613578354503e-34
3391.4023784903447	2.8522626815094236e-17	6.287038781521885e-34
3392.9019070894337	-2.9805921021263598e-18	5.7815697821835705e-34
3394.401435688523	1.1880315631837797e-19	5.528544623169073e-34
3395.9009642876117	4.673704050593534e-18	5.224191227819432e-34
3397.4004928867007	4.248286798636798e-17	5.257514655955321e-34
3398.90002148579	4.51896411786579e-17	5.059903494500036e-34
3400.3995500848787	1.8865337831290716e-17	4.651425176896541e-34
3401.899078683968	2.3591435915473665e-17	4.488159572649384e-34
3403.3986072830567	2.1065059234252983e-17	4.263718211814061e-34
3404.8981358821457	1.842651686197011e-17	4.14336549821161e-34
3406.397664481235	2.6987454044450947e-17	4.009339856763676e-34
3407.8971930803236	-3.7541337329090495e-17	3.50565476193823e-34
3409.396721679413	7.158807314379964e-18	3.539010332497774e-34
3410.896250278502	2.680204316450841e-17	3.468648271228925e-34
3412.3957788775906	3.340795220410997e-17	3.3337263153384892e-34
3413.89530747668	1.775286262546815e-17	3.1258238385949997e-34
3415.394836075769	8.131028257079877e-18	2.9362143039199607e-34
3416.894364674858	1.443893059175818e-17	2.848670050908692e-34
3418.393893273947	4.2907095835321925e-17	2.8884221933643805e-34
3419.8934218730365	2.3446983710742305e-17	2.6695602980981367e-34
3421.392950472125	2.790059361189926e-17	2.619065009713146e-34
3422.892479071214	4.041926080756254e-17	2.563280455926936e-34
3424.392007670303	3.020865913149372e-17	2.4253605302644222e-34
3425.891536269392	3.4464288316119786e-17	2.3281776827538916e-34
3427.3910648684814	2.3934967332589388e-17	2.199777883800596e-34
3428.89059346757	3.044216229225009e-17	2.1341637176831154e-34
3430.390122066659	1.2394249305367952e-17	1.9890032519147654e-34
3431.8896506657484	2.0581954323658738e-17	1.9460269947777103e-34
3433.389179264837	4.420856857622306e-17	1.951119961805892e-34
3434.8887078639264	1.7789819400875794e-17	1.7833359363533911e-34
3436.3882364630153	-6.047518285555798e-18	1.6201312879168084e-34
3437.887765062104	3.583390254152181e-18	1.6000082939986694e-34
3439.3872936611933	2.248322234416697e-17	1.604669863783649e-34
3440.886822260282	1.465176912645175e-17	1.512381618629599e-34
3442.3863508593713	1.1576516749771505e-17	1.4165577068734661e-34
3443.8858794584603	1.8837530914228827e-18	1.3856637867884371e-34
3445.385408057549	-1.759673063048754e-17	1.326148071587698e-34
3446.8849366566383	-3.63199952284886e-17	1.3916829147953722e-34
3448.3844652557273	4.2147562053263484e-17	1.6110604663725432e-34
3449.8839938548163	1.8876240071764165e-17	1.2781466908952477e-34
3451.3835224539052	5.421412458614917e-18	1.1645535289875052e-34
3452.8830510529947	-1.2396648956324969e-17	1.0652398683773688e-34
3454.382579652083	4.957583751425301e-18	1.0880922132413233e-34
3455.882108251172	1.653521967656559e-17	1.0829380608138263e-34
3457.381636850261	-3.402704023073395e-18	9.885776624833413e-35
3458.88116544935	-1.3694488926770922e-18	9.42834459244231e-35
3460.3806940484396	2.5065145857881814e-17	1.0016026909034292e-34
3461.880222647528	1.4426415349090252e-17	9.430622686718879e-35
3463.379751246617	2.4017839249438625e-17	9.260951441820331e-35
3464.8792798457066	1.1453254430791916e-17	8.682473911802635e-35
