wavelength flux fluxe
3.500376548846454170e+03 1.562388204967332772e+00 2.258947625939272008e+00
3.501447195172079319e+03 5.423986801378367417e+00 2.488353079730879713e+00
3.502518081206185798e+03 5.803748303017303156e-01 2.192780936299840722e+00
3.503588782281177373e+03 5.196156093390811748e+00 2.485398873186924096e+00
3.504659733873750156e+03 -4.082782823408245276e-01 2.116707954279058335e+00
3.505730973094140609e+03 3.632728975115174119e+00 2.480435398666206659e+00
3.506801476681537224e+03 4.156756985782733338e+00 2.337589631541589608e+00
3.507872241103867054e+03 7.274489309869744069e+00 2.495232961195107624e+00
3.508943529710831626e+03 6.325920241707255975e+00 2.482191908165762850e+00
3.510014344028826144e+03 -3.005574952046180304e+00 2.008981280340355724e+00
3.511085472805677909e+03 1.528677298942291651e+00 2.348954780872348547e+00
3.512156579595853600e+03 -1.469245320632880381e+00 2.050096188105725581e+00
3.513227717863186626e+03 3.610735453508512549e+00 2.256785422796292018e+00
3.514301053425890132e+03 -7.437045547347079122e+00 2.026008144054066928e+00
3.515370073458153911e+03 -6.973141313843483902e-01 1.951256652714360662e+00
3.516441317756108219e+03 2.947663915363930798e+00 2.118774299851691190e+00
3.517512676445186116e+03 7.956835174819305578e+00 2.369801532345226391e+00
3.518585097331422276e+03 1.199629753458178572e+00 2.000628863138634639e+00
3.519655263244049820e+03 2.937261331707656797e-01 1.864650563774707726e+00
3.520727277344624326e+03 -1.553332420660920477e+00 1.781065934725680089e+00
3.521798722389899922e+03 -9.707328220492242865e-01 1.767046806269547021e+00
3.522869536765526846e+03 3.896806313297217494e-01 1.865250939432199884e+00
3.523941103881774325e+03 3.658727653200287477e+00 1.911906841166279847e+00
3.525012696004821009e+03 7.429479577477184016e+00 2.051997686370025775e+00
3.526084267880316474e+03 -2.788459343764429388e+00 1.635272175809484141e+00
3.527155959348837314e+03 4.981604771172378321e+00 1.907633644531096850e+00
3.528227506825080582e+03 6.216292293708467476e+00 1.970544136371136235e+00
3.529299271296047209e+03 5.549849285188063419e+00 1.849422087089485744e+00
3.530371055560706282e+03 3.251435190979384826e-01 1.539501717827634675e+00
3.531442689570847961e+03 -2.674524521731271864e+00 1.495744970479744973e+00
3.532514613847380133e+03 6.935580750281717499e+00 1.903016554549924910e+00
3.533585845611517470e+03 4.770611668532347416e+00 1.769614937397911314e+00
3.534658468181341959e+03 -4.599088297888602739e-01 1.538679834704617555e+00
3.535730283682753907e+03 3.569542397597520900e+00 1.707114726872881905e+00
3.536802292806622518e+03 2.326500962989524801e+00 1.604694048385034044e+00
3.537875214279230931e+03 -1.940096854270216609e+00 1.427935083574615849e+00
3.538947967924898421e+03 -7.539546980274329790e-01 1.473096275919812070e+00
3.540018192055004420e+03 -3.352591261743320672e-01 1.781025149216074688e+00
3.541090377193151653e+03 1.909454192504482339e+00 2.030193813366662603e+00
3.542162528015989665e+03 2.045621527616502622e+00 2.172723741494013261e+00
3.543234716651598774e+03 9.332759073833187813e-01 2.236731032726326784e+00
3.544306931226272354e+03 5.109627407730421567e+00 2.382771248203884085e+00
3.545379169301819275e+03 1.756776527080780248e+00 2.348718034613792138e+00
3.546451448234273812e+03 1.494653318949439980e+00 2.344201422029243531e+00
3.547523778398621744e+03 6.558824360820093347e+00 2.474605778139512768e+00
3.548596121863356984e+03 2.394404030250758542e+00 2.347589429376991443e+00
3.549668550027611673e+03 4.096737455889321922e+00 2.315017636036295734e+00
3.550740907414956382e+03 1.513011761831410951e+00 2.243355356891962860e+00
3.551814074935128701e+03 4.018412991439148207e+00 2.384654320523576398e+00
3.552886849234711917e+03 -8.456088972429501638e+00 1.807316660790210028e+00
3.553958442668906628e+03 4.061593712865350092e-01 2.302026357769314302e+00
3.555031065631221736e+03 2.671434454622555688e+00 2.517986041280609655e+00
3.556640074877768257e+03 -2.634339526461215719e-01 1.674718485968867077e+00
3.558249000866151164e+03 7.157836268091150700e+00 2.574728922634483830e+00
3.559321770211975036e+03 -1.317168947898814002e+00 2.346024699037891015e+00
3.560394423407537943e+03 5.264205922676238103e+00 2.543569300474278094e+00
3.561467301748073623e+03 2.042687721050655547e+00 2.310122888183510970e+00
3.562540021011459885e+03 3.578608064041453929e+00 2.380740444467773997e+00
3.563612964757841382e+03 3.352795757569921431e+00 2.348491930323597821e+00
3.564685703177489358e+03 1.990448968002668906e+00 2.262979170307329646e+00
3.565758852498479882e+03 -5.822295120529120682e-01 2.071587830589986634e+00
3.566831468632633005e+03 3.138897591994925129e+00 2.215805735067901239e+00
3.567904839657700450e+03 9.215281919751747708e+00 2.431762976933159681e+00
3.568977727275795587e+03 1.385415203273918094e-01 1.957585372721417638e+00
3.570050918181575526e+03 2.609448463277007857e+00 2.072830462346618496e+00
3.571124436907169184e+03 -2.022652087205047133e-01 1.870247914224540065e+00
3.572196694859121635e+03 -4.577657627208145397e-01 1.814332599263295487e+00
3.573271412909967694e+03 -4.288731445727319347e+00 1.658609097250351327e+00
3.574343456987109676e+03 2.237713547144739579e+00 2.013646486512083111e+00
3.575416803306082784e+03 2.642993197905277203e+00 1.866743653744466602e+00
3.576490088704168556e+03 3.343430365006136440e-01 1.669000054556684542e+00
3.577563395315956313e+03 6.550841051801618242e+00 2.056069536576266010e+00
3.578636754027865663e+03 3.183524139530031327e+00 1.780728371349466155e+00
3.579710095816254125e+03 1.023568699675706517e+00 1.602721348331152873e+00
3.580783628154679718e+03 2.735440057040817052e+00 1.746955213794223249e+00
3.581858027758259595e+03 2.839443238612762155e+00 1.688604101526532952e+00
3.582930621899066409e+03 -1.248699544256341776e+00 1.468032274512248936e+00
3.584004051573324887e+03 9.878609313222285193e-01 1.678737439205099546e+00
3.585077659501539529e+03 6.541452760941575406e-02 1.488733502741292236e+00
3.586151270452812241e+03 -9.473537824379764105e-01 1.460333882001647154e+00
3.587223708590222941e+03 2.032349983420808304e+00 1.584369689123590552e+00
3.588298617842945077e+03 2.442977235225359811e-01 1.442086111387776093e+00
3.589372322312634424e+03 3.119434167747750397e+00 1.634872335589419468e+00
3.590446057540136735e+03 -2.507893383988337166e-01 1.460838082327535092e+00
3.591519785906925335e+03 3.062626831366555002e-02 1.569237005101848714e+00
3.592593630482408571e+03 2.540834916004072852e+00 1.659996404954328320e+00
3.593667404574215652e+03 2.582272194037892099e+00 1.663740422521990947e+00
3.594741396796594017e+03 1.764027998436862754e+00 1.608052832602715698e+00
3.595815199039127037e+03 1.585918530983823960e+00 1.469270503081854917e+00
3.596889154415685880e+03 3.495606826338332862e+00 1.643941974272831397e+00
3.597963199985831579e+03 -9.757587201027787538e-01 1.286757738654149774e+00
3.599037288764626737e+03 1.189851883352576412e+00 1.439413916339268296e+00
3.600111345161748432e+03 2.573342664823629722e+00 1.512034396980610262e+00
3.601185372292041393e+03 -2.611784813675195771e+00 1.274130203482014334e+00
3.602259486231590017e+03 2.668270125315714392e+00 1.455383819297210390e+00
3.603333588883632729e+03 3.381198196909489528e+00 1.537227038865595086e+00
3.604407801721733904e+03 2.743686887525262019e+00 1.435191236741788279e+00
3.605482043380009600e+03 3.584453340797451315e-02 1.362306329161145912e+00
3.606555326122180304e+03 -8.052730261618848417e-02 1.297196121282635062e+00
3.607630615936537197e+03 3.654600368650718245e+00 1.406413995844743692e+00
3.608704900830677616e+03 3.251713044754925175e+00 1.443882753701860144e+00
3.609779364058553710e+03 -4.876415453338319161e-01 1.254578379361010354e+00
3.610853686745187588e+03 4.698268324533722229e+00 1.459738564344436274e+00
3.611928055560003031e+03 5.430476444062910524e+00 1.558060334203279496e+00
