wavelength	flux	unc
4418.445999381417	1.2590390450646043e-18	3.3756898289132586e-37
4419.958202302813	2.171720529988719e-19	2.9154820466715047e-37
4421.4704052242105	1.7620442700507314e-19	2.8211695017432306e-37
4422.982608145608	2.317736638969092e-19	2.7547661620277167e-37
4424.494811067005	7.458698125739925e-19	2.772247178372556e-37
4426.007013988401	1.3896686749750886e-18	2.795708059830103e-37
4427.519216909798	6.543570409046393e-19	2.6420106081546247e-37
4429.031419831195	8.331404829108526e-19	2.6523027419178853e-37
4430.5436227525925	5.089391600208162e-19	2.6154415939197918e-37
4432.05582567399	1.2898991199031597e-18	2.667128857701279e-37
4433.568028595386	1.0491998838412043e-18	2.6125607688686145e-37
4435.080231516783	1.5570851268685366e-18	2.623924581189189e-37
4436.59243443818	9.848500202071946e-19	2.5396160792744198e-37
4438.104637359577	6.952517945749707e-19	2.495319933890766e-37
4439.6168402809735	1.0325344527454742e-18	2.514987302247174e-37
4441.129043202371	1.165770040173847e-18	2.5082410484898953e-37
4442.641246123768	9.48440033657872e-19	2.4316201858492556e-37
4444.153449045165	1.1136846622452556e-18	2.4355545710956746e-37
4445.665651966562	8.177447880395672e-19	2.3981448381256847e-37
4447.177854887958	1.1979574241265857e-18	2.3940754297406064e-37
4448.6900578093555	1.2599909932694975e-18	2.3750582241404806e-37
4450.202260730753	8.883174132007732e-19	2.3357469787985697e-37
4451.71446365215	5.403153430505392e-19	2.2650879588775777e-37
4453.226666573546	8.357190958781314e-19	2.289501902758387e-37
4454.738869494943	1.3158794016737129e-18	2.317641821847103e-37
4456.25107241634	9.32131456599064e-19	2.276439272695125e-37
4457.7632753377375	9.433041236466873e-19	2.2663268615809995e-37
4459.275478259135	1.0616779247413676e-18	2.35066016251072e-37
4460.787681180531	6.773976336869456e-19	2.2054568579745853e-37
4462.299884101928	9.00994870018249e-19	2.1512595401670457e-37
4463.812087023325	5.187061114615346e-19	2.149530160374396e-37
4465.324289944722	7.119082413922809e-19	2.1278734763860907e-37
4466.8364928661185	8.238924078090359e-19	2.104454170745737e-37
4468.348695787516	9.962840674408907e-19	2.0828089196372846e-37
4469.860898708913	9.978507414674604e-19	2.3058610319400353e-37
4471.37310163031	9.480479788373517e-19	2.3215543649487906e-37
4472.885304551707	1.2523471017730765e-18	2.4872660448195474e-37
4474.397507473103	1.5897128081707085e-18	2.917561388644487e-37
4475.9097103945005	1.1872353342063064e-18	3.5171607675385616e-37
4477.421913315898	2.3840126962719854e-18	3.7479791825722784e-37
4478.934116237295	1.7458543914071253e-18	3.3902695400835352e-37
4480.446319158691	3.5491493406420435e-19	3.048844312026499e-37
4481.958522080088	8.235373816308909e-19	2.81525118547957e-37
4483.470725001485	1.2231553539952193e-18	2.4792473112769397e-37
4484.982927922882	1.0749306990816282e-18	2.1921089233551635e-37
4486.49513084428	1.2106258263579272e-18	1.9395535767994424e-37
4488.007333765676	7.034799315976103e-19	1.8722358503434107e-37
4489.519536687073	1.4178007550337785e-19	1.8496783370890901e-37
4491.03173960847	3.657341455468189e-19	1.8321875003130303e-37
4492.543942529867	8.912215362518364e-19	1.8489516118381696e-37
4494.056145451264	8.702477207970553e-19	1.8432410030022265e-37
4495.568348372661	8.531592623263598e-19	1.8313061642704158e-37
4497.080551294057	7.71794292450444e-19	1.7856205851083936e-37
4498.592754215454	7.618637335660768e-19	1.791851227798671e-37
4500.104957136852	5.99792048817082e-19	1.7592853340477641e-37
4501.617160058248	8.178704490559041e-19	1.765801971246946e-37
4503.1293629796455	9.550986500120714e-19	1.7807107809410291e-37
4504.641565901043	1.1887114452486496e-18	1.7532630072324774e-37
4506.15376882244	8.010493520310193e-19	1.7614262714890352e-37
4507.665971743836	4.9844413531412485e-19	1.7071533811640239e-37
4509.178174665233	7.071562830197433e-19	1.6838150929018015e-37
4510.690377586629	8.345286571881753e-19	1.7093177566426873e-37
4512.202580508027	6.558559406285087e-19	1.6829931366916387e-37
4513.714783429425	9.447760080604973e-19	1.6893474832451973e-37
4515.226986350821	1.358892450719331e-18	1.6869692689706103e-37
4516.739189272218	1.2513607464317258e-18	1.6612019243035674e-37
4518.251392193615	6.871387207189857e-19	1.6438860924274942e-37
4519.763595115011	1.0736601790732441e-18	1.6758749001479666e-37
4521.275798036409	9.931067879815615e-19	1.6511456031599731e-37
4522.788000957806	4.585021955553793e-19	1.5931769095858034e-37
4524.300203879202	5.561738415225819e-19	1.567187795005771e-37
4525.812406800599	6.094011431065004e-19	1.5652654132231623e-37
4527.324609721997	5.155490120957254e-19	1.5552849991009946e-37
4528.836812643393	8.744594491395266e-19	1.5692641106062288e-37
4530.3490155647905	7.073479661165433e-19	1.5433458491661654e-37
4531.861218486187	7.602942853362851e-19	1.551393500953848e-37
4533.373421407584	6.10681708909512e-19	1.5077378947218218e-37
4534.885624328981	5.932120176347045e-19	1.4970463612215027e-37
4536.397827250378	6.212290412426027e-19	1.5102652325822527e-37
4537.910030171774	5.1554570759781295e-19	1.4988375105715514e-37
4539.422233093172	5.297327530498852e-19	1.4576493367633005e-37
4540.93443601457	1.1008910724918024e-18	1.469735763295767e-37
4542.446638935966	8.408583205014679e-19	1.4688855202818346e-37
4543.958841857363	6.253697660277987e-19	1.4420010273504207e-37
4545.471044778759	4.627441432569787e-19	1.396952313021896e-37
4546.983247700156	6.104036662947136e-19	1.4193116950283199e-37
4548.495450621554	9.259450720818784e-19	1.4124311077481812e-37
4550.007653542951	3.0240187880067866e-19	1.344083601760798e-37
4551.519856464347	9.020832132306954e-19	1.3925094815678004e-37
4553.032059385744	2.8773502608911183e-19	1.3347811250152204e-37
4554.544262307142	6.862809361066963e-19	1.361563689229225e-37
4556.056465228538	4.854694047931837e-19	1.339778157755694e-37
4557.568668149936	2.633975982689406e-19	1.314209220457041e-37
4559.080871071332	6.556574571664772e-19	1.3163590550246707e-37
4560.593073992729	7.502663253789596e-19	1.330440433201371e-37
4562.105276914126	4.524037998085962e-19	1.2933912325257648e-37
4563.617479835523	7.598596015901203e-19	1.3146832117386578e-37
4565.1296827569195	4.914856297399207e-19	1.3017014911014113e-37
4566.641885678317	2.1714019920089697e-19	1.279474760248693e-37
4568.154088599714	1.5084868931772515e-19	1.2546620395698181e-37
4569.666291521111	5.643755555598507e-19	1.2749972060069256e-37
4571.178494442508	9.211366490110556e-19	1.2902140997919077e-37
4572.690697363904	7.985863273806567e-19	1.2624362123981474e-37
4574.202900285301	6.192657854867275e-19	1.3827524371109725e-37
4575.715103206699	9.000755100926506e-19	1.4637266094367925e-37
4577.227306128096	1.153863435624996e-18	1.5627378684376104e-37
4578.739509049492	7.576384673914764e-19	1.523008204258652e-37
4580.251711970889	5.052846528252114e-19	1.5129172814144595e-37
4581.763914892286	1.1446993769595019e-18	1.5684397148347292e-37
4583.276117813683	9.50149488975781e-19	1.5167437468352795e-37
4584.788320735081	8.787623317216775e-19	1.492023068598017e-37
4586.300523656477	7.587605723326674e-19	1.4213804581685982e-37
4587.812726577874	3.087700677529311e-19	1.3580497347220222e-37
4589.324929499271	4.477198334569242e-19	1.3709840376463127e-37
4590.837132420668	4.732147722380841e-19	1.1769368144702182e-37
4592.3493353420645	-7.35557269153404e-20	1.0953563117092999e-37
4593.861538263462	3.0517315918147615e-19	1.114292301081078e-37
4595.373741184859	8.601236335490337e-19	1.1501263875605012e-37
4596.885944106256	5.354775653936043e-19	1.1278303633730066e-37
4598.398147027653	3.230274289867385e-19	1.1147437284175138e-37
4599.910349949049	2.4011124735240386e-19	1.0631196319970948e-37
4601.422552870446	6.457835513463913e-19	1.1049329080359757e-37
4602.934755791844	6.47079251725057e-20	1.050328947628512e-37
4604.446958713241	6.140484958405308e-19	1.0806880773118889e-37
4605.959161634637	2.0014386424733977e-20	1.0290742401145195e-37
4607.471364556034	4.606874250547615e-20	1.0281347614749643e-37
4608.983567477431	4.561390357027516e-19	1.0492275794159678e-37
4610.495770398828	1.020687738345504e-18	1.0796033851313572e-37
4612.007973320226	5.745404893119569e-19	1.05567183879086e-37
4613.520176241622	7.918193133560787e-19	1.0624998442849256e-37
4615.032379163019	2.0685138562013008e-19	1.0119894811160153e-37
4616.544582084416	1.4451304222994631e-19	1.0010165831595817e-37
4618.056785005813	7.33264500154189e-19	1.0313314896248815e-37
4619.5689879272095	4.2614259734080855e-19	1.0060284531568784e-37
4621.081190848607	3.505058533683654e-19	9.841956407752746e-38
4622.593393770004	3.6471964106055675e-19	9.878639248315698e-38
4624.105596691401	4.50422691648119e-19	9.910402586451245e-38
4625.617799612798	5.588505151874954e-19	9.891086453627398e-38
4627.130002534194	4.763839990248601e-19	9.731733159661096e-38
4628.6422054555915	5.789404571885424e-19	9.795403906531852e-38
4630.154408376989	6.394568265508911e-19	9.78979819745804e-38
4631.666611298386	3.242405390983525e-19	9.4435086619389e-38
4633.178814219782	1.9374418874348808e-19	9.266830119076821e-38
4634.691017141179	3.805871293971805e-19	9.267713746981424e-38
4636.203220062576	2.6060042499664826e-19	9.17894971242239e-38
