wavelength flux err
3.676000000000000000e+03 5.726113130653232020e-01 3.225725798630427188e-02
3.677000000000000000e+03 6.238534379077425029e-01 3.172581010551159958e-02
3.678000000000000000e+03 6.192248325787027552e-01 3.145657169444989604e-02
3.679000000000000000e+03 6.064931708734285776e-01 3.043191130298233266e-02
3.680000000000000000e+03 5.935886205363843926e-01 3.082845504219223695e-02
3.681000000000000000e+03 6.002840953875477892e-01 3.093602203455413438e-02
3.682000000000000000e+03 5.681646311231712820e-01 3.075301691403879711e-02
3.683000000000000000e+03 5.486721433793440017e-01 3.075890388440664577e-02
3.684000000000000000e+03 5.734729202502780732e-01 3.163984744317519665e-02
3.685000000000000000e+03 6.079407811728937405e-01 3.070366007958748311e-02
3.686000000000000000e+03 5.602008008572954001e-01 3.032666206407807694e-02
3.687000000000000000e+03 5.687557809747274540e-01 3.078455273590763319e-02
3.688000000000000000e+03 6.079767384134311392e-01 3.151303778925312882e-02
3.689000000000000000e+03 6.295002170382807405e-01 3.118068139125544647e-02
3.690000000000000000e+03 5.968868590660687534e-01 3.044562939350203834e-02
3.691000000000000000e+03 5.657252188328818487e-01 3.038557515625924660e-02
3.692000000000000000e+03 5.672649256844582988e-01 3.041597805780025740e-02
3.693000000000000000e+03 5.952849170482112928e-01 3.112614156367764576e-02
3.694000000000000000e+03 6.155168426895604172e-01 3.099867806798481742e-02
3.695000000000000000e+03 5.748273339655622927e-01 3.106922892591890834e-02
3.696000000000000000e+03 6.038255021885019502e-01 3.012726419800326391e-02
3.697000000000000000e+03 5.807127236217551891e-01 3.075206227173621007e-02
3.698000000000000000e+03 5.712625000193775060e-01 3.055849791525823075e-02
3.699000000000000000e+03 5.538084114573672556e-01 3.080282222341736847e-02
3.700000000000000000e+03 5.545697266060858333e-01 3.107233804453510620e-02
3.701000000000000000e+03 5.953217729435780203e-01 3.144036794857492378e-02
3.702000000000000000e+03 6.271902700826474941e-01 3.111245688651042771e-02
3.703000000000000000e+03 5.789839147965839539e-01 3.056487641686596660e-02
3.704000000000000000e+03 5.364200093289919202e-01 3.015101564111189250e-02
3.705000000000000000e+03 5.584199397660827291e-01 3.030790668859480522e-02
3.706000000000000000e+03 5.821543744056630887e-01 3.041032972480484792e-02
3.707000000000000000e+03 5.954889832307209696e-01 3.036074236796096684e-02
3.708000000000000000e+03 6.008462181046927419e-01 3.035479667148796579e-02
3.709000000000000000e+03 6.127368379310420554e-01 3.005578620433296821e-02
3.710000000000000000e+03 5.891952677159806306e-01 2.984949835798373849e-02
3.711000000000000000e+03 5.692511738917537256e-01 2.991718422519299911e-02
