wavelength flux unc
3.823644897159999800e+03 5.837010580392280466e-17 1.131812786028647835e-17
3.824960813245405006e+03 9.158679399807581113e-17 1.644218005562685103e-17
3.826276729330810213e+03 8.189500331092270410e-17 1.550967453567744634e-17
3.827592645416215873e+03 6.760343329092962121e-17 1.544164885646231045e-17
3.828908561501621080e+03 7.269630491307980751e-17 1.576822141665947089e-17
3.830224477587026286e+03 7.027259292640553176e-17 1.592103972610619254e-17
3.831540393672431492e+03 7.741447695263327313e-17 1.601358965612230059e-17
3.832856309757836698e+03 7.159447386737957295e-17 1.561830320244036015e-17
3.834172225843242359e+03 7.568420039962955111e-17 1.531529867225606058e-17
3.835488141928647565e+03 7.079488138261641385e-17 1.498779470668916544e-17
3.836804058014052771e+03 7.171118574308835494e-17 1.499224162966225052e-17
3.838119974099457977e+03 7.772245945574391681e-17 1.507112819032020766e-17
3.839435890184863183e+03 8.505606409562674873e-17 1.515741636309928930e-17
3.840751806270268844e+03 7.969519257245428188e-17 1.512107666442860968e-17
3.842067722355674050e+03 7.827254118053658064e-17 1.526382984018178609e-17
3.843383638441079256e+03 6.961220501256769658e-17 1.517421309261779108e-17
3.844699554526484462e+03 5.565228147864917439e-17 1.538572813833127557e-17
3.846015470611890123e+03 7.854985844397865849e-17 1.578148443060114613e-17
3.847331386697295329e+03 8.316029186310831735e-17 1.562244406858680061e-17
3.848647302782700535e+03 8.135273017111254086e-17 1.526963664808190835e-17
3.849963218868105741e+03 6.309713860219793831e-17 1.512748731417589565e-17
3.851279134953510948e+03 6.780437200533100269e-17 1.517035181351839354e-17
3.852595051038916608e+03 7.230529332880354112e-17 1.522725853093959163e-17
3.853910967124321814e+03 7.260097400184429618e-17 1.512868176298042222e-17
3.855226883209727021e+03 7.142038212693921253e-17 1.478655820726726487e-17
3.856542799295132227e+03 7.004204776351965231e-17 1.451244047843454213e-17
3.857858715380537433e+03 6.858190192879614743e-17 1.430131420760895756e-17
3.859174631465943094e+03 6.833134561253138514e-17 1.406030520997428231e-17
3.860490547551348300e+03 7.376721925620526011e-17 1.429602686913351861e-17
3.861806463636753506e+03 7.507375434245521753e-17 1.464360981688952594e-17
3.863122379722158712e+03 6.829958849445424930e-17 1.475817764045057049e-17
3.864438295807563918e+03 6.137516694254424869e-17 1.476301499267278059e-17
3.865754211892969579e+03 7.776260087650989014e-17 1.490324857628012048e-17
3.867070127978374785e+03 7.764724557700569511e-17 1.460644459196751841e-17
3.868386044063779991e+03 6.645599481497566291e-17 1.429777883767090592e-17
3.869701960149185197e+03 7.278524998998640947e-17 1.422395627672299841e-17
3.871017876234590403e+03 7.191609492442999096e-17 1.392991673001754856e-17
3.872333792319996064e+03 8.660913209164201052e-17 1.425650087074328473e-17
3.873649708405401270e+03 9.202107043711105108e-17 1.468524181711931983e-17
3.874965624490806476e+03 7.097883973340330679e-17 1.449093047378571320e-17
3.876281540576211682e+03 7.053646354180994759e-17 1.433228715846539313e-17
3.877597456661616889e+03 6.091092009555498744e-17 1.408301297215008803e-17
3.878913372747022549e+03 6.875127543102250538e-17 1.408404033047087889e-17
3.880229288832427756e+03 6.802687697266286671e-17 1.374885599291642888e-17
3.881545204917832962e+03 6.937317628531947328e-17 1.378161317235414133e-17
3.882861121003238168e+03 6.986640754097259262e-17 1.369732925819927568e-17
3.884177037088643374e+03 7.948542618655573449e-17 1.396744591440907942e-17
3.885492953174049035e+03 8.359108752612593417e-17 1.386830749081398651e-17
3.886808869259454241e+03 9.337883116433519240e-17 1.394649177513188613e-17
3.888124785344859447e+03 7.770542615257022487e-17 1.347537023007169666e-17
3.889440701430264653e+03 6.509743337691857026e-17 1.342371280081776008e-17
3.890756617515670314e+03 7.729767243269588519e-17 1.398174290411644596e-17
3.892072533601075520e+03 8.384904214578937074e-17 1.423393207491038793e-17
3.893388449686480726e+03 6.786864724764882315e-17 1.391088661284515360e-17
3.894704365771885932e+03 6.113110895717170298e-17 1.374485657465473500e-17
3.896020281857291138e+03 6.141854429386652946e-17 1.394779044869359438e-17
3.897336197942696799e+03 7.780020781587900099e-17 1.400203033581992151e-17
3.898652114028102005e+03 7.359095037639266012e-17 1.413048155878205607e-17
3.899968030113507211e+03 6.737610420626534793e-17 1.404939635205593298e-17
3.901283946198912417e+03 7.114781618893563928e-17 1.396416531609969412e-17
3.902599862284317624e+03 6.461907151995670414e-17 1.371895175941141183e-17
3.903915778369723284e+03 6.910456096192145329e-17 1.395541374521888308e-17
3.905231694455128491e+03 7.400622813111878214e-17 1.401273901603003301e-17
3.906547610540533697e+03 6.750264298765125989e-17 1.408452009522615964e-17
3.907863526625938903e+03 6.488636335437463929e-17 1.423090128514599363e-17
3.909179442711344109e+03 7.225549043848294843e-17 1.451483103040482038e-17
3.910495358796749770e+03 7.294052833457486383e-17 1.428534796742545902e-17
3.911811274882154976e+03 7.735127373638932139e-17 1.430332094777501121e-17
3.913127190967560182e+03 6.694040501657651677e-17 1.407886879728119736e-17
3.914443107052965388e+03 7.385691872183051043e-17 1.419448217713650893e-17
3.915759023138370594e+03 8.679120447063228255e-17 1.432830014791288754e-17
