id,mjd,mag,magerr,limiting_mag,filter,instrument_name,instrument_id,magsys,origin,altdata,ra,dec,ra_unc,dec_unc,created_at,UTC,owner,streams,flux,fluxerr,snr
593049349,59859.459363400000,,,19.7611,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907717,2022-10-07T11:01:28Z,jms949,,,45.243896476783100,
593049350,59859.482499999900,,,20.0884,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907780,2022-10-07T11:34:47Z,jms949,,,33.46878910940920,
593049351,59861.48229169990,,,17.7535,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907809,2022-10-09T11:34:30Z,jms949,,,287.47494529363700,
593049352,59863.46043979980,,,19.2604,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907827,2022-10-11T11:03:01Z,jms949,,,71.75298947883960,
593049353,59865.43918980010,,,19.3296,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907843,2022-10-13T10:32:25Z,jms949,,,67.32246357236840,
593049354,59865.48127309980,,,19.5737,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907859,2022-10-13T11:33:01Z,jms949,,,53.76751934098280,
593049355,59867.4385532001,,,19.3529,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907874,2022-10-15T10:31:30Z,jms949,,,65.8931091335618,
593049356,59871.41787040000,,,19.3791,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907889,2022-10-19T10:01:44Z,jms949,,,64.3220681718404,
593049357,59871.461111099900,,,19.4013,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T19:14:25.907905,2022-10-19T11:03:59Z,jms949,,,63.02023234330770,
592995990,59873.474386599800,20.876540705165700,0.352361867956989,19.9357,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643508,2022-10-21T11:23:07Z,jms949,,16.195103130098700,5.255914618734590,3.081310162910870
592995991,59876.397361100200,,,19.4634,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643568,2022-10-24T09:32:11Z,jms949,,,59.51685855219730,
592995992,59878.39701389990,,,19.941,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643589,2022-10-26T09:31:42Z,jms949,,,38.33540007590440,
592995993,59878.46128469990,,,19.9293,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643615,2022-10-26T11:04:14Z,jms949,,,38.75073996548750,
592995994,59880.3967708,,,19.9896,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643633,2022-10-28T09:31:20Z,jms949,,,36.65726001104190,
592995995,59880.440821799900,,,19.8797,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643648,2022-10-28T10:34:47Z,jms949,,,40.562059707861300,
592995996,59882.416759300000,,,18.4315,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643664,2022-10-30T10:00:08Z,jms949,,,153.95719856927000,
592995997,59882.46091439990,,,18.6355,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643680,2022-10-30T11:03:43Z,jms949,,,127.585112234688,
592995998,59887.37581019990,,,19.2242,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643696,2022-11-04T09:01:10Z,jms949,,,74.18566601558300,
592995999,59888.37913190020,,,17.192,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643712,2022-11-05T09:05:56Z,jms949,,,482.1697939006170,
592996000,59888.41956020010,,,17.677,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643727,2022-11-05T10:04:10Z,jms949,,,308.46081377571400,
592996001,59894.39765049980,,,18.9119,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643741,2022-11-11T09:32:37Z,jms949,,,98.90995402601860,
592996002,59895.35733800010,,,19.2877,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643756,2022-11-12T08:34:34Z,jms949,,,69.97130922153190,
592996003,59897.35533560020,,,19.208,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643771,2022-11-14T08:31:40Z,jms949,,,75.30087105475900,
592996004,59897.44496530020,,,19.2046,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643794,2022-11-14T10:40:45Z,jms949,,,75.53704651726910,
592996005,59898.38163190010,,,19.9218,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643809,2022-11-15T09:09:32Z,jms949,,,39.01934726269070,
592996006,59898.42269680000,,,19.7443,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643824,2022-11-15T10:08:41Z,jms949,,,45.949416419427400,
394186205,59899.34672450000,,,18.87969970703130,ztfr,ZTF,1,ab,None,,,,,,2022-11-21T10:24:09.768435,2022-11-16T08:19:16Z,kowalski-bot,ZTF Public,,101.8873149069360,
592996007,59900.33449070020,,,19.2521,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643840,2022-11-17T08:01:39Z,jms949,,,72.3036130894529,
592996008,59900.36734949980,,,19.0542,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643858,2022-11-17T08:48:58Z,jms949,,,86.76009122762770,
592996009,59901.33678240000,,,20.0735,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643873,2022-11-18T08:04:57Z,jms949,,,33.931261016293200,
592996010,59901.39750000000,,,19.6584,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643889,2022-11-18T09:32:23Z,jms949,,,49.732466641858300,
592996011,59902.3990162001,,,19.2719,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643904,2022-11-19T09:34:34Z,jms949,,,70.99700034978900,
592996012,59903.33472219990,,,19.875,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643920,2022-11-20T08:01:59Z,jms949,,,40.73802778041120,
592996013,59904.34430560000,19.535711484564700,0.10719930464367700,19.8836,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643934,2022-11-21T08:15:48Z,jms949,,55.682074388153500,5.497725533484710,10.128201935330100
592996014,59904.37738429990,19.608346537843000,0.1404010739185730,19.6655,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643967,2022-11-21T09:03:26Z,jms949,,52.0788499093996,6.734533143207450,7.73310470109232
592996015,59908.35615740020,19.62906658752070,0.16249379702036500,19.4025,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.643990,2022-11-25T08:32:51Z,jms949,,51.094407221414100,7.646907415933400,6.681708623142440
592996016,59908.39730319990,19.820373879118600,0.197391793483049,19.4508,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644006,2022-11-25T09:32:06Z,jms949,,42.84009728087090,7.788525056271110,5.500412076915280
592996017,59910.3141667,20.39464774696960,0.3194839229502420,19.5024,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644022,2022-11-27T07:32:24Z,jms949,,25.242996159137700,7.427892157041760,3.398406388440490
592996018,59910.354027799800,20.321131104163600,0.190079542091188,19.9155,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644037,2022-11-27T08:29:48Z,jms949,,27.011428864867200,4.7288835053690000,5.712009787130390
592996019,59914.38600690010,,,19.7517,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644052,2022-12-01T09:15:50Z,jms949,,,45.6373060193651,
592996020,59923.294456000000,,,19.1597,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644067,2022-12-10T07:04:00Z,jms949,,,78.72632885306310,
592996021,59924.294409700200,,,19.4107,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644081,2022-12-11T07:03:56Z,jms949,,,62.476975894974100,
592996022,59930.251099499900,,,19.9098,ztfg,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644096,2022-12-17T06:01:34Z,jms949,,,39.45299704883670,
592996023,59930.293807900000,,,19.7169,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644112,2022-12-17T07:03:05Z,jms949,,,47.12376700149430,
592996024,59933.25795139980,,,18.7307,ztfr,ZTF,1,ab,fp,,,,,,2024-07-17T18:14:43.644127,2022-12-20T06:11:27Z,jms949,,,116.87456299079300,
