wavelength flux fluxe
3258.6219   nan   nan
3260.3088   nan   nan
3261.9957   nan   nan
3263.6826   nan   nan
3265.3695   nan   nan
3267.0564   nan   nan
3268.7433   nan   nan
3270.4302   nan   nan
3272.1171   nan   nan
3273.8040   nan   nan
3275.4909   nan   nan
3277.1777   nan   nan
3278.8646   nan   nan
3280.5515   nan   nan
3282.2384   nan   nan
3283.9253   nan   nan
3285.6122   nan   nan
3287.2991   nan   nan
3288.9860   nan   nan
3290.6729   nan   nan
3292.3598   nan   nan
3294.0467   nan   nan
3295.7335   nan   nan
3297.4204   nan   nan
3299.1073   nan   nan
3300.7942   nan   nan
3302.4811   nan   nan
3304.1680   nan   nan
3305.8549   nan   nan
3307.5418   nan   nan
3309.2287 1.432407e+03 2.368211e+03
3310.9156 -4.598150e+03 2.214771e+03
3312.6025 1.956110e+03 2.569596e+03
3314.2893 -2.496980e+03 2.392576e+03
3315.9762 8.817870e+02 2.025204e+03
3317.6631 -2.354064e+03 2.147181e+03
3319.3500 -1.490214e+03 2.148103e+03
3321.0369 -1.190531e+03 1.610074e+03
3322.7238 1.200401e+03 1.976131e+03
3324.4107 -2.133616e+02 2.007762e+03
3326.0976 3.172373e+03 2.018958e+03
3327.7845 -1.933844e+03 1.879946e+03
3329.4714 -2.925520e+03 1.691610e+03
3331.1583 -2.800294e+03 1.758473e+03
3332.8452 -4.000188e+02 1.676862e+03
3334.5320 -2.896672e+03 1.566623e+03
3336.2189 -5.165056e+02 1.624689e+03
3337.9058 1.408551e+03 1.596732e+03
3339.5927 1.007131e+03 1.549719e+03
3341.2796 -3.434309e+02 1.099047e+03
3342.9665 -1.373087e+03 1.205721e+03
3344.6534 -4.236049e+02 1.248822e+03
3346.3403 2.985535e+03 1.372938e+03
3348.0272 -6.731352e+02 1.264360e+03
3349.7141 3.181224e+02 1.250028e+03
3351.4010 -2.657984e+03 1.176258e+03
3353.0878 1.416199e+01 1.144036e+03
3354.7747 -2.245120e+03 1.123655e+03
3356.4616 -1.746835e+03 1.078974e+03
3358.1485 5.581094e+02 1.063136e+03
3359.8354 8.474946e+02 1.041563e+03
3361.5223 -8.459493e+02 9.463135e+02
3363.2092 6.544585e+02 7.852842e+02
3364.8961 2.265717e+02 8.089279e+02
3366.5830 -1.098325e+03 8.819830e+02
3368.2699 3.376197e+01 8.549562e+02
3369.9568 1.044476e+03 8.488178e+02
3371.6436 -1.450918e+03 7.763335e+02
3373.3305 -1.068961e+03 7.675281e+02
3375.0174 -1.508680e+03 7.181199e+02
3376.7043 5.230066e+02 7.353809e+02
3378.3912 8.382748e+02 7.099654e+02
3380.0781 3.047169e+02 6.861369e+02
3381.7650 -1.413275e+03 6.361054e+02
3383.4519 1.532034e+01 6.407082e+02
3385.1388 -3.188602e+02 6.054503e+02
3386.8257 9.373187e+01 4.327729e+02
3388.5126 -5.044865e+02 5.706701e+02
3390.1995 -4.069670e+02 5.559347e+02
3391.8863 6.466569e+02 5.395451e+02
3393.5732 -2.865798e+02 5.185905e+02
3395.2601 -8.570291e+01 4.989843e+02
3396.9470 -2.289781e+02 4.885428e+02
3398.6339 -1.445605e+02 4.699726e+02
3400.3208 3.242470e+02 4.652199e+02
3402.0077 -1.035803e+03 4.296461e+02
3403.6946 -1.922239e+02 4.268156e+02
3405.3815 -3.125188e+02 4.128474e+02
3407.0684 1.481402e+02 4.132214e+02
3408.7553 -7.163342e+01 3.678753e+02
3410.4421 -2.090559e+02 2.907521e+02
3412.1290 -2.455382e+02 3.635056e+02
3413.8159 2.082984e+01 3.586887e+02
3415.5028 -1.149169e+02 3.483442e+02
3417.1897 1.709563e+02 3.447353e+02
3418.8766 4.976825e+01 3.265954e+02
3420.5635 -1.558763e+02 3.183280e+02
3422.2504 -3.833350e+02 3.046787e+02
3423.9373 -5.702483e+02 2.982214e+02
3425.6242 -7.419398e+01 2.857964e+02
3427.3111 -2.131793e+02 2.832651e+02
3428.9979 2.070614e+02 2.769187e+02
3430.6848 -2.487937e+02 2.696145e+02
3432.3717 -1.736645e+02 2.607610e+02
