id	mjd	mag	magerr	limiting_mag	filter	instrument_name	instrument_id	magsys	origin	altdata	ra	dec	ra_unc	dec_unc	created_at	UTC	owner	streams	flux	fluxerr	snr
422437964	60017.235393500000			19.805099487304700	ztfi	ZTF	1	ab	None						2023-04-11T04:58:04.480835	2023-03-14T05:38:57Z	kowalski-bot	ZTF Public+Partnership		43.447041130505300	
422867196	60020.20346060020			20.7322998046875	ztfg	ZTF	1	ab	None						2023-04-12T05:34:00.089543	2023-03-17T04:52:58Z	kowalski-bot	ZTF Public+Partnership		18.496096309484800	
422095109	60020.22856480020			20.845699310302700	ztfg	ZTF	1	ab	None						2023-04-10T05:05:35.542369	2023-03-17T05:29:07Z	kowalski-bot	ZTF Public		16.661737033970600	
422095110	60020.25370369990			20.58370018005370	ztfr	ZTF	1	ab	None						2023-04-10T05:05:35.542448	2023-03-17T06:05:19Z	kowalski-bot	ZTF Public		21.20898710131910	
422437965	60021.32354169990			20.377899169921900	ztfg	ZTF	1	ab	None						2023-04-11T04:58:04.480894	2023-03-18T07:45:54Z	kowalski-bot	ZTF Public+Partnership		25.635413796031300	
422867197	60021.324479199900			20.439599990844700	ztfg	ZTF	1	ab	None						2023-04-12T05:34:00.089607	2023-03-18T07:47:15Z	kowalski-bot	ZTF Public+Partnership		24.219211715430300	
422095111	60031.22465279980			20.39550018310550	ztfg	ZTF	1	ab	None						2023-04-10T05:05:35.542473	2023-03-28T05:23:30Z	kowalski-bot	ZTF Public		25.223185088025300	
592995127	60031.24873840020			19.5489	ztfi	ZTF	1	ab	fp						2024-07-17T18:14:35.872193	2023-03-28T05:58:10Z	jms949			55.009791642493600	
422095112	60031.30313660020			20.312400817871100	ztfr	ZTF	1	ab	None						2023-04-10T05:05:35.542495	2023-03-28T07:16:31Z	kowalski-bot	ZTF Public		27.229500385204900	
592995128	60032.251365699800			20.1072	ztfr	ZTF	1	ab	fp						2024-07-17T18:14:35.872269	2023-03-29T06:01:57Z	jms949			32.89425084941790	
592995129	60042.250127300200			19.032	ztfi	ZTF	1	ab	fp						2024-07-17T18:14:35.872301	2023-04-08T06:00:10Z	jms949			88.5523314502854	
592995130	60042.27076390010			18.3069	ztfg	ZTF	1	ab	fp						2024-07-17T18:14:35.872321	2023-04-08T06:29:54Z	jms949			172.6791888829720	
592995131	60042.3003934999			18.6797	ztfr	ZTF	1	ab	fp						2024-07-17T18:14:35.872339	2023-04-08T07:12:33Z	jms949			122.49546199780500	
592995132	60044.20378470000	19.75227803214900	0.08780625736235290	20.3854	ztfr	ZTF	1	ab	fp						2024-07-17T18:14:35.872361	2023-04-10T04:53:26Z	jms949		45.61301576445890	3.6888409760447800	12.365134756599300
592995133	60045.19131940000	19.69954959411250	0.1033215426139090	19.8996	ztfi	ZTF	1	ab	fp						2024-07-17T18:14:35.872389	2023-04-11T04:35:29Z	jms949		47.88286880145100	4.5566610449795900	10.508323601161200
592995134	60046.16067129980	19.20087519729350	0.053817824030453700	20.3848	ztfr	ZTF	1	ab	fp						2024-07-17T18:14:35.872415	2023-04-12T03:51:22Z	jms949		75.79663422756490	3.757091183920200	20.174286573603400
