AT2023fhn&20230408 06:00&-3&P48/ZTF&{\em i}&$>19.54$\\ 
AT2023fhn&20230408 06:29&-3&P48/ZTF&{\em g}&$>18.76$\\ 
AT2023fhn&20230408 07:12&-3&P48/ZTF&{\em r}&$>19.17$\\ 
AT2023fhn&20230410 04:53&-2&P48/ZTF&{\em r}&$19.68\pm0.09$\\ 
AT2023fhn&20230411 04:35&-1&P48/ZTF&{\em i}&$19.65\pm0.1$\\ 
AT2023fhn&20230412 03:51&0&P48/ZTF&{\em r}&$19.13\pm0.05$\\ 
AT2023fhn&20230412 04:35&0&P48/ZTF&{\em g}&$18.69\pm0.03$\\ 
AT2023fhn&20230412 05:22&0&P48/ZTF&{\em g}&$18.63\pm0.03$\\ 
AT2023fhn&20230412 05:27&0&P48/ZTF&{\em g}&$18.72\pm0.03$\\ 
AT2023fhn&20230417 05:05&4&P48/ZTF&{\em g}&$20.09\pm0.09$\\ 
AT2023fhn&20230417 05:49&4&P48/ZTF&{\em r}&$20.72\pm0.15$\\ 
AT2023fhn&20230419 04:40&6&P60/SEDM&{\em g}&$>19.3$\\ 
AT2023fhn&20230419 04:44&6&P60/SEDM&{\em r}&$>19.93$\\ 
AT2023fhn&20230419 05:20&6&P48/ZTF&{\em r}&$20.57\pm0.22$\\ 
AT2023fhn&20230421 03:50&7&P48/ZTF&{\em i}&$>20.32$\\ 
AT2023fhn&20230421 05:04&7&P48/ZTF&{\em r}&$21.24\pm0.31$\\ 
AT2023fhn&20230421 06:36&7&P48/ZTF&{\em g}&$20.86\pm0.32$\\ 
AT2023fhn&20230423 03:51&9&P48/ZTF&{\em r}&$>20.96$\\ 
AT2023fhn&20230423 05:02&9&P48/ZTF&{\em g}&$>21.07$\\ 
AT2023fhn&20230424 00:39&10&LT/IO:O&{\em g}&$21.52\pm0.14$\\ 
AT2023fhn&20230424 00:44&10&LT/IO:O&{\em r}&$21.57\pm0.2$\\ 
AT2023fhn&20230424 03:52&10&P48/ZTF&{\em i}&$>20.24$\\ 
AT2023fhn&20230425 04:07&10&P48/ZTF&{\em g}&$>20.76$\\ 
AT2023fhn&20230425 04:36&10&P48/ZTF&{\em r}&$>20.52$\\ 
AT2023fhn&20230427 04:00&12&P48/ZTF&{\em g}&$>20.66$\\ 
AT2023fhn&20230427 04:47&12&P48/ZTF&{\em r}&$>20.58$\\ 
AT2023fhn&20230501 07:59&15&P48/ZTF&{\em g}&$>19.08$\\ 
AT2023fhn&20230509 04:26&22&P48/ZTF&{\em r}&$>20.85$\\ 
