wavelength flux unc
4.435000000000000000e+03 1.977530494332313538e-02 5.549151077866554260e-02
4.436000000000000000e+03 4.794772341847419739e-02 5.217050760984420776e-02
4.437000000000000000e+03 6.620812416076660156e-02 5.143117904663085938e-02
4.438000000000000000e+03 1.048016324639320374e-01 4.739891737699508667e-02
4.439000000000000000e+03 1.013984158635139465e-01 4.481328278779983521e-02
4.440000000000000000e+03 9.374727308750152588e-02 4.394738003611564636e-02
4.441000000000000000e+03 7.662325352430343628e-02 4.211655259132385254e-02
4.442000000000000000e+03 4.237517714500427246e-02 4.047198966145515442e-02
4.443000000000000000e+03 8.639474958181381226e-02 3.923397138714790344e-02
4.444000000000000000e+03 8.497311174869537354e-02 3.821732103824615479e-02
4.445000000000000000e+03 8.271681517362594604e-02 3.564770892262458801e-02
4.446000000000000000e+03 2.028675749897956848e-02 3.484272956848144531e-02
4.447000000000000000e+03 9.196392260491847992e-03 3.387425467371940613e-02
4.448000000000000000e+03 1.171271875500679016e-01 3.290744125843048096e-02
4.449000000000000000e+03 7.461484521627426147e-02 3.196438029408454895e-02
4.450000000000000000e+03 5.110989138484001160e-02 3.053514473140239716e-02
4.451000000000000000e+03 8.706669509410858154e-02 2.942277863621711731e-02
4.452000000000000000e+03 2.519474737346172333e-02 2.746812812983989716e-02
4.453000000000000000e+03 9.941912256181240082e-03 2.699034102261066437e-02
4.454000000000000000e+03 5.626224726438522339e-02 2.608118765056133270e-02
4.455000000000000000e+03 7.894819974899291992e-02 2.537232451140880585e-02
4.456000000000000000e+03 9.069100022315979004e-02 2.475920878350734711e-02
4.457000000000000000e+03 5.045111104846000671e-02 2.349831722676753998e-02
4.458000000000000000e+03 -1.596944965422153473e-02 2.333729527890682220e-02
4.459000000000000000e+03 -3.468150272965431213e-02 2.261060476303100586e-02
4.460000000000000000e+03 3.592133289203047752e-03 2.109762467443943024e-02
4.461000000000000000e+03 3.879797831177711487e-02 2.082149684429168701e-02
4.462000000000000000e+03 5.646677687764167786e-02 1.993129216134548187e-02
4.463000000000000000e+03 1.689801923930644989e-02 2.000584825873374939e-02
4.464000000000000000e+03 4.247714951634407043e-02 1.890367828309535980e-02
4.465000000000000000e+03 -4.081864375621080399e-03 1.851810142397880554e-02
4.466000000000000000e+03 6.719865370541810989e-03 1.819226145744323730e-02
4.467000000000000000e+03 -1.063018012791872025e-02 1.738695800304412842e-02
4.468000000000000000e+03 3.043866902589797974e-02 1.679484359920024872e-02
4.469000000000000000e+03 3.656489774584770203e-02 1.653926819562911987e-02
4.470000000000000000e+03 7.355606183409690857e-03 1.580499298870563507e-02
4.471000000000000000e+03 8.584530092775821686e-03 1.521190907806158066e-02
4.472000000000000000e+03 3.192681074142456055e-02 1.492570061236619949e-02
4.473000000000000000e+03 6.235115602612495422e-02 1.439219526946544647e-02
4.474000000000000000e+03 2.987584099173545837e-02 1.415245234966278076e-02
4.475000000000000000e+03 4.093004018068313599e-02 1.415470242500305176e-02
4.476000000000000000e+03 1.006411947309970856e-02 1.354923471808433533e-02
4.477000000000000000e+03 8.139336854219436646e-02 1.304157730191946030e-02
4.478000000000000000e+03 3.841589391231536865e-02 1.315297000110149384e-02
4.479000000000000000e+03 1.931505836546421051e-02 1.283304672688245773e-02
4.480000000000000000e+03 5.053761228919029236e-02 1.221120171248912811e-02
4.481000000000000000e+03 2.507365308701992035e-02 1.177691295742988586e-02
4.482000000000000000e+03 4.733196273446083069e-02 1.151214912533760071e-02
4.483000000000000000e+03 9.653417393565177917e-03 1.110507175326347351e-02
4.484000000000000000e+03 5.524275824427604675e-03 1.113467384129762650e-02
4.485000000000000000e+03 1.273648440837860107e-02 1.081318967044353485e-02
4.486000000000000000e+03 -2.241937676444649696e-03 1.065720245242118835e-02
4.487000000000000000e+03 1.540512684732675552e-02 1.041465066373348236e-02
4.488000000000000000e+03 3.080934751778841019e-03 1.008522789925336838e-02
4.489000000000000000e+03 3.412812482565641403e-03 9.825465269386768341e-03
4.490000000000000000e+03 1.446711551398038864e-02 9.807945229113101959e-03
4.491000000000000000e+03 2.060764469206333160e-02 9.348133578896522522e-03
4.492000000000000000e+03 1.051739510148763657e-02 9.316110983490943909e-03
4.493000000000000000e+03 2.275114133954048157e-02 9.208453819155693054e-03
4.494000000000000000e+03 2.969465963542461395e-02 9.020837023854255676e-03
4.495000000000000000e+03 3.400359302759170532e-02 8.825221098959445953e-03
4.496000000000000000e+03 2.029758878052234650e-02 8.736515417695045471e-03
4.497000000000000000e+03 8.785385638475418091e-03 8.500840514898300171e-03
4.498000000000000000e+03 3.911866992712020874e-02 8.334976620972156525e-03
4.499000000000000000e+03 2.227369509637355804e-02 8.226438425481319427e-03
4.500000000000000000e+03 1.723753288388252258e-03 7.735505234450101852e-03
4.501000000000000000e+03 1.247570500709116459e-03 7.583789527416229248e-03
4.502000000000000000e+03 -7.592952810227870941e-03 7.627087179571390152e-03
4.503000000000000000e+03 6.321254186332225800e-03 7.539791520684957504e-03
4.504000000000000000e+03 2.494034543633460999e-02 7.606063038110733032e-03
4.505000000000000000e+03 1.675468310713768005e-02 7.314747199416160583e-03
4.506000000000000000e+03 -1.113876421004533768e-02 7.349838502705097198e-03
4.507000000000000000e+03 4.930668976157903671e-03 6.949824281036853790e-03
4.508000000000000000e+03 2.763147838413715363e-02 6.889579351991415024e-03
4.509000000000000000e+03 5.257128272205591202e-03 6.797528825700283051e-03
4.510000000000000000e+03 1.621929369866847992e-02 6.724185310304164886e-03
4.511000000000000000e+03 9.744861163198947906e-03 6.440618075430393219e-03
4.512000000000000000e+03 1.231632940471172333e-02 6.473177578300237656e-03
4.513000000000000000e+03 6.745326798409223557e-03 6.614535115659236908e-03
4.514000000000000000e+03 3.162318840622901917e-02 6.341781932860612869e-03
4.515000000000000000e+03 9.196420200169086456e-03 6.301352288573980331e-03
4.516000000000000000e+03 7.007294334471225739e-04 6.154559087008237839e-03
4.517000000000000000e+03 1.671997830271720886e-02 5.982016213238239288e-03
4.518000000000000000e+03 1.042485795915126801e-02 5.926642566919326782e-03
4.519000000000000000e+03 7.295535411685705185e-03 5.890836473554372787e-03
4.520000000000000000e+03 1.199310179799795151e-02 5.749997682869434357e-03
4.521000000000000000e+03 6.641527637839317322e-03 5.594088695943355560e-03
4.522000000000000000e+03 1.807740516960620880e-02 5.558739416301250458e-03
4.523000000000000000e+03 2.228259481489658356e-02 5.648341961205005646e-03
4.524000000000000000e+03 5.005395971238613129e-03 5.492113530635833740e-03
4.525000000000000000e+03 1.291725970804691315e-02 5.285631865262985229e-03
4.526000000000000000e+03 1.150883827358484268e-02 5.136364605277776718e-03
4.527000000000000000e+03 1.023284625262022018e-02 5.310903768986463547e-03
4.528000000000000000e+03 9.634964168071746826e-03 5.188887007534503937e-03
4.529000000000000000e+03 1.002676691859960556e-02 5.151882767677307129e-03
4.530000000000000000e+03 1.652134349569678307e-03 5.098259076476097107e-03
4.531000000000000000e+03 2.006727037951350212e-03 5.034964531660079956e-03
4.532000000000000000e+03 2.388309687376022339e-03 5.073032341897487640e-03
4.533000000000000000e+03 1.966218836605548859e-02 5.049855448305606842e-03
4.534000000000000000e+03 -3.723268164321780205e-03 5.026225466281175613e-03
4.535000000000000000e+03 4.100264981389045715e-03 4.840373992919921875e-03
4.536000000000000000e+03 1.118734106421470642e-02 4.704873077571392059e-03
4.537000000000000000e+03 7.998942397534847260e-03 4.765907302498817444e-03
4.538000000000000000e+03 9.711897931993007660e-03 4.720713943243026733e-03
4.539000000000000000e+03 8.702784776687622070e-03 4.768184851855039597e-03
4.540000000000000000e+03 1.418223045766353607e-02 4.642045125365257263e-03
4.541000000000000000e+03 7.703590672463178635e-03 4.543927032500505447e-03
4.542000000000000000e+03 5.338113289326429367e-03 4.435975104570388794e-03
4.543000000000000000e+03 2.945788437500596046e-03 4.468991886824369431e-03
4.544000000000000000e+03 4.714943468570709229e-03 4.490848630666732788e-03
4.545000000000000000e+03 8.025673218071460724e-03 4.411755595356225967e-03
4.546000000000000000e+03 -8.497045491822063923e-04 4.463613964617252350e-03
4.547000000000000000e+03 1.048749219626188278e-02 4.287938121706247330e-03
4.548000000000000000e+03 4.955760203301906586e-03 4.243039991706609726e-03
4.549000000000000000e+03 1.645752415060997009e-02 4.227909725159406662e-03
4.550000000000000000e+03 1.612801570445299149e-03 4.150917287915945053e-03
4.551000000000000000e+03 7.653573527932167053e-03 4.201492294669151306e-03
4.552000000000000000e+03 6.039837840944528580e-03 4.147007130086421967e-03
4.553000000000000000e+03 5.440833978354930878e-03 3.976003732532262802e-03
4.554000000000000000e+03 1.493501197546720505e-02 4.090616013854742050e-03
4.555000000000000000e+03 1.397616695612668991e-02 4.068965557962656021e-03
4.556000000000000000e+03 1.078275498002767563e-02 3.967989236116409302e-03
4.557000000000000000e+03 -4.630117327906191349e-04 3.966713324189186096e-03
4.558000000000000000e+03 2.107693580910563469e-03 3.898385446518659592e-03
4.559000000000000000e+03 -4.622383567038923502e-04 3.907279111444950104e-03
4.560000000000000000e+03 2.577731618657708168e-03 3.812633221969008446e-03
4.561000000000000000e+03 6.985333748161792755e-03 3.771688090637326241e-03
4.562000000000000000e+03 6.613716948777437210e-03 3.672417951747775078e-03
4.563000000000000000e+03 -2.702068304643034935e-03 3.797419602051377296e-03
4.564000000000000000e+03 1.184392441064119339e-02 3.731117118149995804e-03
4.565000000000000000e+03 -1.526037347503006458e-03 3.647647332400083542e-03
4.566000000000000000e+03 4.101430531591176987e-03 3.553058719262480736e-03
