id,mjd,mag,magerr,limiting_mag,filter,instrument_name,instrument_id,magsys,origin,altdata,ra,dec,ra_unc,dec_unc,created_at,UTC,owner,streams,flux,fluxerr,snr
429558999,60036.30269679990,,,19.617700576782200,ztfg,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.705209,2023-04-02T07:15:53Z,kowalski-bot,ZTF Public,,51.632097633400200,
429559020,60042.241446800100,,,18.993099212646500,ztfi,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.836654,2023-04-08T05:47:41Z,kowalski-bot,ZTF Public+Partnership,,91.78259129231360,
429559021,60042.35390050010,,,19.641700744628900,ztfr,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.836718,2023-04-08T08:29:37Z,kowalski-bot,ZTF Public+Partnership,,50.50329364108310,
429559000,60043.325104199800,,,19.705799102783200,ztfg,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.705269,2023-04-09T07:48:09Z,kowalski-bot,ZTF Public,,47.60804621972110,
429559001,60043.35219910000,,,19.984699249267600,ztfr,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.705287,2023-04-09T08:27:10Z,kowalski-bot,ZTF Public,,36.823096010435000,
429559022,60045.2056481,,,19.91069984436040,ztfi,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.836734,2023-04-11T04:56:07Z,kowalski-bot,ZTF Public+Partnership,,39.42031245272410,
429559002,60045.3228703998,,,20.541099548339800,ztfg,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.705301,2023-04-11T07:44:56Z,kowalski-bot,ZTF Public,,22.05769771159630,
429559023,60046.26936340010,,,20.709199905395500,ztfg,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.836748,2023-04-12T06:27:52Z,kowalski-bot,ZTF Public+Partnership,,18.89383149795990,
429559024,60046.27032409980,,,20.732500076293900,ztfg,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.836760,2023-04-12T06:29:16Z,kowalski-bot,ZTF Public+Partnership,,18.49268489031230,
429559003,60049.217175900000,,,20.47450065612790,ztfr,ZTF,1,ab,None,,,,,,2023-05-01T07:56:07.705313,2023-04-15T05:12:43Z,kowalski-bot,ZTF Public,,23.453072038928100,
511830905,60050.30422450000,,,20.0525,ztfi,ZTF,1,ab,fp,,,,,,2023-11-03T00:13:57.241494,2023-04-16T07:18:04Z,jlwise98,,,34.59393778261220,
