id	mjd	mag	magerr	limiting_mag	filter	instrument_name	instrument_id	magsys	origin	altdata	ra	dec	ra_unc	dec_unc	created_at	UTC	owner	streams	flux	fluxerr	snr
506301145	60206.14040509980			20.52739906311040	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301488	2023-09-19T03:22:11Z	kowalski-bot	ZTF Public		22.33779879452770	
506301146	60206.171770799900			20.442899703979500	ztfr	ZTF	1	ab	None						2023-10-18T03:16:17.301541	2023-09-19T04:07:20Z	kowalski-bot	ZTF Public		24.145717680114800	
506301147	60206.23393520010			20.05150032043460	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301560	2023-09-19T05:36:52Z	kowalski-bot	ZTF Public		34.6258044352243	
506301148	60209.18924769990			18.811800003051800	ztfr	ZTF	1	ab	None						2023-10-18T03:16:17.301575	2023-09-22T04:32:31Z	kowalski-bot	ZTF Public		108.46259698054500	
506301149	60212.149178199900			20.0856990814209	ztfr	ZTF	1	ab	None						2023-10-18T03:16:17.301588	2023-09-25T03:34:48Z	kowalski-bot	ZTF Public		33.55215098319660	
506301150	60212.19273150010			19.646900177002000	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301601	2023-09-25T04:37:32Z	kowalski-bot	ZTF Public		50.262018907594800	
506301151	60212.20835650010			19.513900756835900	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301616	2023-09-25T05:00:02Z	kowalski-bot	ZTF Public		56.81195014532910	
506301152	60214.13518519980			19.74679946899410	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301637	2023-09-27T03:14:40Z	kowalski-bot	ZTF Public		45.843758115278000	
506301153	60214.19487270010			19.70210075378420	ztfr	ZTF	1	ab	None						2023-10-18T03:16:17.301650	2023-09-27T04:40:37Z	kowalski-bot	ZTF Public		47.770490270283300	
506301154	60214.19534720020			19.69580078125	ztfr	ZTF	1	ab	None						2023-10-18T03:16:17.301664	2023-09-27T04:41:17Z	kowalski-bot	ZTF Public		48.04848376831360	
506301155	60216.20002309980			19.1481990814209	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301677	2023-09-29T04:48:01Z	kowalski-bot	ZTF Public		79.56468860994220	
506301156	60216.20143519990			19.160999298095700	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301689	2023-09-29T04:50:04Z	kowalski-bot	ZTF Public		78.63217357977580	
506301157	60220.19300930020			19.350500106811500	ztfg	ZTF	1	ab	None						2023-10-18T03:16:17.301702	2023-10-03T04:37:56Z	kowalski-bot	ZTF Public		66.0389192511402	
513987434	60220.753967			19.14	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.356941	2023-10-03T18:05:42Z	jlwise98			80.16780633876780	
513987452	60221.14348379990			19.7983	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695261	2023-10-04T03:26:37Z	jlwise98			43.71998456969020	
513987453	60221.202997699800			19.4587	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695320	2023-10-04T04:52:19Z	jlwise98			59.77505714859700	
513987435	60221.98702			18.26	atlasc	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357001	2023-10-04T23:41:18Z	jlwise98			180.30177408595600	
513987436	60221.990174			18.66	atlasc	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357024	2023-10-04T23:45:51Z	jlwise98			124.7383514242940	
513987437	60221.995609			19.05	atlasc	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357050	2023-10-04T23:53:40Z	jlwise98			87.09635899560790	
513987438	60222.006012			19.19	atlasc	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357114	2023-10-05T00:08:39Z	jlwise98			76.55966069112550	
513987454	60222.187627300200			19.594	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695342	2023-10-05T04:30:10Z	jlwise98			52.77156817648110	
513987455	60223.132291700200			20.1551	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695360	2023-10-06T03:10:30Z	jlwise98			31.474584091183500	
513987456	60223.174363399900			19.7575	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695377	2023-10-06T04:11:04Z	jlwise98			45.39416166502030	
513987457	60224.14612270010			20.4193	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695394	2023-10-07T03:30:25Z	jlwise98			24.67629764188980	
513987458	60224.17216440010			20.2787	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695410	2023-10-07T04:07:55Z	jlwise98			28.087947195665800	
513987459	60227.16667820000			19.6821	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695426	2023-10-10T04:00:00Z	jlwise98			48.658643774215000	
513987439	60229.993172			18.23	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357134	2023-10-12T23:50:10Z	jlwise98			185.35316234148100	
513987440	60229.996802			18.58	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357179	2023-10-12T23:55:23Z	jlwise98			134.2764961137860	
513987441	60229.998623			18.77	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357222	2023-10-12T23:58:01Z	jlwise98			112.71974561755100	
513987442	60230.004107			18.83	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357239	2023-10-13T00:05:54Z	jlwise98			106.6596121230260	
513987443	60230.015992			18.82	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357256	2023-10-13T00:23:01Z	jlwise98			107.64652136298300	
513987444	60230.019627			18.84	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357274	2023-10-13T00:28:15Z	jlwise98			105.68175092136600	
513987445	60230.022884			18.85	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357291	2023-10-13T00:32:57Z	jlwise98			104.71285480509000	
513987446	60230.023334			18.8	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357309	2023-10-13T00:33:36Z	jlwise98			109.64781961431800	
513987460	60231.12129630010			20.2486	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695442	2023-10-14T02:54:40Z	jlwise98			28.877527094115800	
513987461	60231.12931710020			20.0722	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695458	2023-10-14T03:06:12Z	jlwise98			33.971912748712900	
513987462	60231.14357639990			20.2491	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695475	2023-10-14T03:26:45Z	jlwise98			28.864231563078100	
513987463	60233.128946799800	20.05634817600120	0.23021146451554800	19.6711	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695491	2023-10-16T03:05:41Z	jlwise98		34.47154348088540	7.309090803151280	4.716256017235850
513987464	60233.140509299900			19.8329	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695508	2023-10-16T03:22:20Z	jlwise98			42.348691895970200	
513987465	60235.115960599900	17.858472285355500	0.021608938942673100	20.2066	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695525	2023-10-18T02:46:58Z	jlwise98		260.9823190332390	5.19421842284685	50.24477174184740
513987466	60235.167106499900			19.8485	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695542	2023-10-18T04:00:38Z	jlwise98			41.74457078262900	
513987467	60237.13100690020	17.523664730469900	0.020574466958865500	19.9216	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695558	2023-10-20T03:08:38Z	jlwise98		355.2500173517190	6.731911224943980	52.771049035138700
513987468	60237.151134300000	17.62382889586320	0.022729458077854900	19.9571	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695574	2023-10-20T03:37:38Z	jlwise98		323.9428820188710	6.781616127563590	47.76779987623000
513987469	60237.15160880010			20.09	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695598	2023-10-20T03:38:19Z	jlwise98			33.41950400261140	
508364061	60239.1033689999			17.263292476248100	sdssr	SEDM	2	ab	SEDM_FPIPE_PS1						2023-10-22T02:36:44.378910	2023-10-22T02:28:51Z	fremling			451.5262561403510	
508395075	60239.11944440010	17.796842640345900	0.05634656921029090	19.261559734001000	ztfr	ZTF	1	ab	None		269.1433535	8.0437159			2023-10-22T03:24:43.066011	2023-10-22T02:51:59Z	kowalski-bot	ZTF Public	276.2249755859370	14.335277423977200	19.26889640265510
513987471	60239.15142360000	17.7165701672424	0.03118425120579110	19.5615	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695630	2023-10-22T03:38:02Z	jlwise98		297.4212079239320	8.542459596708280	34.816811780829400
513987472	60239.15189810000			19.6567	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695646	2023-10-22T03:38:43Z	jlwise98			49.81039663639070	
513987473	60242.13481480020	18.23894196364350	0.05481181524682050	19.4456	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695662	2023-10-25T03:14:07Z	jlwise98		183.8328899297030	9.280536427686560	19.80843363550360
513987474	60242.15074069980			19.3383	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695678	2023-10-25T03:37:03Z	jlwise98			66.78516449535110	
513987447	60243.023204	17.84	0.227	18.02	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357325	2023-10-26T00:33:24Z	jlwise98		265.4605561975540	55.501093168638300	4.782978875586470
513987475	60245.115810200100			19.1734	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695693	2023-10-28T02:46:46Z	jlwise98			77.73918799394060	
513987476	60245.15563660020			19.027	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695709	2023-10-28T03:44:07Z	jlwise98			88.96107044092280	
513987448	60245.23468			18.39	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357344	2023-10-28T05:37:56Z	jlwise98			159.95580286146700	
513987449	60245.237845			18.34	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357361	2023-10-28T05:42:29Z	jlwise98			167.49428760264400	
513987450	60245.254973			18.2	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357378	2023-10-28T06:07:09Z	jlwise98			190.54607179632500	
513987451	60245.263457			18.14	atlaso	ATLAS	72	ab	fp		269.14334	8.0437			2023-11-07T11:13:35.357395	2023-10-28T06:19:22Z	jlwise98			201.37242498623900	
513987477	60249.09025460020	19.84300997294780	0.21510659711788700	19.5086	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695724	2023-11-01T02:09:57Z	jlwise98		41.956186846722400	8.312380614268290	5.047433315878740
513987478	60249.0941319	19.836381993794900	0.23347362079335600	19.3733	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695739	2023-11-01T02:15:32Z	jlwise98		42.213095714276100	9.077383860017910	4.650359218607820
513987479	60249.098020799900	19.873195704045400	0.30692157085148600	19.2073	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695755	2023-11-01T02:21:08Z	jlwise98		40.805783250784200	11.53519155046140	3.537503739948920
513987480	60249.10189810020	19.630324924814200	0.1675741288481160	19.4981	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695770	2023-11-01T02:26:43Z	jlwise98		51.035224562912500	7.876851908611830	6.479139782622460
513987481	60249.10577550020	19.877172005959200	0.27374072462491100	19.3966	ztfr	ZTF	1	ab	fp						2023-11-07T11:29:14.695786	2023-11-01T02:32:19Z	jlwise98		40.656613167241900	10.250529272600600	3.9662940406322200
513987482	60249.114189799900			19.6504	ztfg	ZTF	1	ab	fp						2023-11-07T11:29:14.695802	2023-11-01T02:44:25Z	jlwise98			50.100262343534200	
