wavelength,flux,unc
5233.192351476741,4.101673508781103e-19,1.5731236562744796e-38
5234.688631209549,9.115698979223686e-19,2.8804999393737563e-38
5236.184910942358,9.29241184534454e-19,1.7823438257151323e-38
5237.681190675165,9.53011466711083e-19,2.0296798158198401e-38
5239.177470407974,9.30301335032119e-19,1.935039973591715e-38
5240.673750140782,8.438526272516991e-19,1.7854865626567215e-38
5242.170029873591,8.784177971778167e-19,1.8130060647538774e-38
5243.6663096063985,1.0015946113252756e-18,1.8302955951043007e-38
5245.1625893392065,8.069297513469302e-19,1.754841866797121e-38
5246.6588690720155,6.564026845490762e-19,1.7121088017251903e-38
5248.155148804823,7.569931470175901e-19,1.7192517103769202e-38
5249.6514285376325,9.5028026937672e-19,1.7680038264442591e-38
5251.1477082704405,1.0069504220804894e-18,1.7721855959816281e-38
5252.6439880032485,8.924578919594733e-19,1.7337362562166386e-38
5254.140267736056,8.695540080615367e-19,1.707891123106988e-38
5255.636547468866,9.277427738470599e-19,1.6795187892701442e-38
5257.1328272016735,8.939468433524138e-19,1.6497956526518875e-38
5258.629106934481,9.926606831101344e-19,1.6664593307001874e-38
5260.125386667289,9.821362770328365e-19,1.648735615385423e-38
5261.621666400098,9.567578683995181e-19,1.618348235321397e-38
5263.117946132907,9.382506439123361e-19,1.600127303012314e-38
5264.614225865715,8.72312201800666e-19,1.580055486745546e-38
5266.110505598524,9.257661772797588e-19,1.5880622323714502e-38
5267.606785331331,8.853709197804971e-19,1.577104998409722e-38
5269.10306506414,8.776671349756034e-19,1.606227628503353e-38
5270.599344796947,1.0047383845130725e-18,1.703757452055109e-38
5272.095624529757,9.032428546094128e-19,1.7410218137899676e-38
5273.591904262563,8.250740660051686e-19,1.7831301629889751e-38
5275.088183995372,9.364656233471997e-19,1.844115369730612e-38
5276.58446372818,7.742056437841883e-19,1.8411392902559223e-38
5278.080743460988,6.432336580300375e-19,1.8379383417624942e-38
5279.577023193798,6.766632680272236e-19,1.8436265110026366e-38
5281.073302926606,8.683894573021927e-19,1.851749276803505e-38
5282.569582659413,8.052065780043008e-19,1.7590383280056974e-38
5284.065862392221,6.307653096418432e-19,1.6927437305365423e-38
5285.562142125031,7.163159862255318e-19,1.756047333908903e-38
5287.058421857838,8.006457166620726e-19,1.7620941210262891e-38
5288.554701590646,8.097740218785076e-19,1.9834300311612747e-38
5290.050981323454,7.27494961954604e-19,1.961298651280267e-38
5291.547261056262,7.858097285711558e-19,2.030761526333678e-38
5293.043540789071,7.251659355746609e-19,1.972442430451149e-38
5294.539820521879,7.32243541912973e-19,1.9540998780296187e-38
5296.036100254688,8.165973516054955e-19,1.8653403481861235e-38
