id,mjd,mag,magerr,limiting_mag,filter,instrument_name,instrument_id,magsys,origin,altdata,ra,dec,ra_unc,dec_unc,created_at,UTC,owner,streams,flux,fluxerr,snr
657447772,60655.238067099800,,,18.7568,ztfg,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692343,2024-12-11T05:42:48Z,ayh24,,,114.09851708009200,
657447773,60655.2598611,,,17.2148,ztfg,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692351,2024-12-11T06:14:11Z,ayh24,,,472.1500064988800,
657447774,60655.3657176001,,,19.4845,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692360,2024-12-11T08:46:38Z,ayh24,,,58.371385255050800,
657447775,60655.406377300200,,,18.1234,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692368,2024-12-11T09:45:10Z,ayh24,,,204.47489789640000,
657448547,60655.433263,,,18.92,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636630,2024-12-11T10:23:53Z,jlwise98,,,98.17479430199820,
657448548,60655.436573,,,18.93,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636639,2024-12-11T10:28:39Z,jlwise98,,,97.2747223776964,
657448549,60655.462082,,,19.1,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636657,2024-12-11T11:05:23Z,jlwise98,,,83.17637711026690,
657448550,60655.46766,,,19.07,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636666,2024-12-11T11:13:25Z,jlwise98,,,85.50667128846820,
657448551,60656.429955,,,17.8,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636674,2024-12-12T10:19:08Z,jlwise98,,,275.4228703338160,
657448552,60656.432264,,,18.63,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636684,2024-12-12T10:22:27Z,jlwise98,,,128.23305826560200,
657448553,60656.438079,,,19,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636693,2024-12-12T10:30:50Z,jlwise98,,,91.20108393559090,
657448554,60656.443203,,,17.41,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636701,2024-12-12T10:38:12Z,jlwise98,,,394.4573020752780,
657447776,60659.42399310000,,,18.7403,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692377,2024-12-15T10:10:33Z,ayh24,,,115.84572183698600,
657447777,60659.42540510000,,,18.5968,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692385,2024-12-15T10:12:35Z,ayh24,,,132.21477796328900,
657448555,60659.432246,,,18.31,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636709,2024-12-15T10:22:26Z,jlwise98,,,172.18685749860100,
657448556,60659.434073,,,18.21,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636726,2024-12-15T10:25:03Z,jlwise98,,,188.79913490962900,
657448557,60659.436833,,,18.28,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636735,2024-12-15T10:29:02Z,jlwise98,,,177.01089583174200,
657448558,60659.442395,,,18.25,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636743,2024-12-15T10:37:02Z,jlwise98,,,181.97008586099800,
657448559,60659.475116,,,15.56,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636753,2024-12-15T11:24:10Z,jlwise98,,,2167.704104819690,
657448560,60659.480675,,,16.88,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636762,2024-12-15T11:32:10Z,jlwise98,,,642.6877173170190,
657447778,60663.3573264,19.654608998665800,0.15632648230809900,19.5798,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692394,2024-12-19T08:34:33Z,ayh24,,49.90641808583130,7.185626443849930,6.945312072066520
657447779,60663.41862270000,19.109830592571000,0.0852178315090657,19.7641,ztfg,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692402,2024-12-19T10:02:49Z,ayh24,,82.42667153223650,6.469547737014100,12.740716180305800
657447780,60663.4856480998,19.358207198163900,0.16743339061595800,19.2332,ztfi,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692411,2024-12-19T11:39:19Z,ayh24,,65.57180228930520,10.111949051697500,6.484585904662720
657447781,60664.3662963002,19.32449257510380,0.07171487595134450,20.0321,ztfg,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692420,2024-12-20T08:47:28Z,ayh24,,67.63990204040530,4.467740103839840,15.139623269999900
657447782,60664.381863399900,19.524631950020000,0.08426640573226080,20.0673,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692437,2024-12-20T09:09:52Z,ayh24,,56.253198365463600,4.365936050053240,12.88456764381090
657448561,60664.530044,,,19.17,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636770,2024-12-20T12:43:15Z,jlwise98,,,77.98301105232570,
657448562,60664.542173,,,19.11,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636779,2024-12-20T13:00:43Z,jlwise98,,,82.41381150130020,
657448563,60664.545387,,,19.08,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636787,2024-12-20T13:05:21Z,jlwise98,,,84.72274141405970,
657448564,60664.545856,,,19.02,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636796,2024-12-20T13:06:01Z,jlwise98,,,89.53647655495930,
657448565,60664.548753,19.524,0.273,19.05,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636804,2024-12-20T13:10:12Z,jlwise98,,56.28594992827280,14.152668266083700,3.9770556950847200
657448566,60664.551498,19.288,0.244,19.07,atlaso,ATLAS,72,ab,fp,,125.2811,28.73949,,,2024-12-21T16:46:12.636813,2024-12-20T13:14:09Z,jlwise98,,69.9519781051212,15.72046928420510,4.449738544090690
657447783,60665.326805600000,19.646790526568900,0.14193989609641900,19.5593,ztfi,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692446,2024-12-21T07:50:36Z,ayh24,,50.26709521472910,6.571491528586280,7.649267292830710
657447784,60665.381215299900,19.616511652237900,0.09704521861180490,20.2418,ztfg,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692454,2024-12-21T09:08:57Z,ayh24,,51.68866781184770,4.620033895499660,11.187941253460800
657447785,60665.48696760000,20.321601504645500,0.24974414604104500,19.7737,ztfr,ZTF,1,ab,fp,,,,,,2024-12-21T16:14:32.692462,2024-12-21T11:41:14Z,ayh24,,26.999728566959000,6.210554759751550,4.347394010907830
660544678,60666.37699070010,,,18.458799362182600,ztfi,ZTF,1,ab,None,,,,,,2024-12-30T06:54:02.462936,2024-12-22T09:02:51Z,kowalski-bot,ZTF Public+Partnership,,150.13441467163400,
658716451,60666.40594909990,19.828081163483000,0.08296756696752410,20.87269606620560,ztfg,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-24T08:41:24.591076,2024-12-22T09:44:34Z,kowalski-bot,ZTF Public,42.53706634563740,3.2505104694559700,13.086272677890100
658716452,60666.48967590000,19.679943513898100,0.15192415133953100,20.067762255433500,ztfr,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-24T08:41:24.591122,2024-12-22T11:45:07Z,kowalski-bot,ZTF Public,48.755385473636300,6.822210154596400,7.146567515336330
659275628,60667.48035879990,20.1190031201284,0.16770232357823000,20.39954120932040,ztfr,ZTF,1,ab,alert_fp,,,,,,2024-12-27T09:33:01.930435,2024-12-23T11:31:43Z,kowalski-bot,ZTF Public,32.5385916702789,5.025896166265000,6.474187009410500
660092392,60668.35160879980,20.09173997207660,0.1254437400967770,20.687503276181600,ztfr,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-29T12:34:54.784549,2024-12-24T08:26:19Z,kowalski-bot,ZTF Public,33.365989682672400,3.855038193883680,8.655164489838290
659275629,60668.40144680020,20.06898734998730,0.12604150998695900,20.659589145542800,ztfg,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-27T09:33:01.930510,2024-12-24T09:38:05Z,kowalski-bot,ZTF Public,34.07258314643370,3.9554357772286000,8.614116134204270
660092393,60671.37821759980,20.0929523957814,0.1260177578602770,20.683758814195500,ztfr,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-29T12:34:54.784594,2024-12-27T09:04:38Z,kowalski-bot,ZTF Public,33.32875122819740,3.8683563131212200,8.615739743298310
660544680,60671.40291670010,,,18.169300079345700,ztfi,ZTF,1,ab,None,,,,,,2024-12-30T06:54:02.462953,2024-12-27T09:40:12Z,kowalski-bot,ZTF Public+Partnership,,196.010785129646,
660092390,60671.464502300100,,,19.75830078125,ztfg,ZTF,1,ab,None,,,,,,2024-12-29T12:34:54.565722,2024-12-27T11:08:52Z,kowalski-bot,ZTF Public,,45.360693690524100,
660140442,60673.43932869980,19.924467211896100,0.07609785033122660,21.062922029313200,ztfg,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-29T13:12:37.232885,2024-12-29T10:32:37Z,kowalski-bot,ZTF Public,38.923610251231500,2.728105643220270,14.26763305444650
660544689,60673.465474499900,20.130195938651400,0.11360601036355700,20.833578456552700,ztfr,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-30T06:54:02.691302,2024-12-29T11:10:16Z,kowalski-bot,ZTF Public,32.20487549793400,3.369757224214880,9.557031369058770
660544691,60673.52390050000,20.121240974688400,0.2872411468398640,19.817510133719700,ztfi,ZTF,1,ab,alert_fp,NaN,,,,,2024-12-30T06:54:02.852665,2024-12-29T12:34:25Z,kowalski-bot,ZTF Public+Partnership,32.471594139654600,8.590648354100740,3.779877001268980
661093715,60675.07712,,,21.233,uvot::uvw2,UVOT,29,ab,None,,,,,,2024-12-31T05:30:16.180008,2024-12-31T01:51:03Z,pingchen,,,11.662724050819600,
661550542,60675.40367,20.04,0.08,25,sdssg,SEDM,2,ab,None,,,,,,2024-12-31T21:29:17.663199,2024-12-31T09:41:17Z,pingchen,,34.99451670283570,2.5784912798873800,13.571702559476600
661550543,60675.40816,20.16,0.06,25,sdssr,SEDM,2,ab,None,,,,,,2024-12-31T21:29:17.663258,2024-12-31T09:47:45Z,pingchen,,31.332857243155800,1.731517680216030,18.09560341263550
661550544,60675.41266,20.25,0.08,25,sdssi,SEDM,2,ab,None,,,,,,2024-12-31T21:29:17.663300,2024-12-31T09:54:13Z,pingchen,,28.840315031266000,2.125032942983850,13.571702559476600
662551246,60675.43628469990,20.036189377802200,0.10030616211375400,20.874756132204000,ztfg,ZTF,1,ab,alert_fp,NaN,,,,,2025-01-04T06:59:54.951432,2024-12-31T10:28:14Z,kowalski-bot,ZTF Public,35.11755318925070,3.244348827829750,10.824222379546600
661773659,60675.49625,20.83927,0.21056,20.87273,uvot::uvw1,UVOT,29,ab,None,,,,,,2025-01-02T08:09:02.904314,2024-12-31T11:54:35Z,yuhanyao,,16.760694106609100,3.250450464506530,5.1564219450899000
661773660,60675.49746,20.33028,0.28959000000000000,20.01769,uvot::u,UVOT,29,ab,None,,,,,,2025-01-02T08:09:02.904361,2024-12-31T11:56:20Z,yuhanyao,,26.784774844419200,7.1440953273942900,3.7492185667948800
661773661,60675.49812,,,19.25308,uvot::b,UVOT,29,ab,None,,,,,,2025-01-02T08:09:02.904374,2024-12-31T11:57:17Z,yuhanyao,,,72.23838032696850,
661773662,60675.50005,21.34358,0.19463,21.46243,uvot::uvw2,UVOT,29,ab,None,,,,,,2025-01-02T08:09:02.904385,2024-12-31T12:00:04Z,yuhanyao,,10.533386015383800,1.8882237795789900,5.5784627485903000
661773663,60675.50445,21.25173,0.23087,21.18519,uvot::uvm2,UVOT,29,ab,None,,,,,,2025-01-02T08:09:02.904395,2024-12-31T12:06:24Z,yuhanyao,,11.46325623021840,2.437536810757910,4.702803329831200
661659904,60676.282455,20.07,0.06,25,sdssg,SEDM,2,ab,None,,,,,,2025-01-01T12:12:23.976129,2025-01-01T06:46:44Z,pingchen,,34.04081897010000,1.881165175532670,18.09560341263550
661659905,60676.286946,20.3,0.08,25,sdssr,SEDM,2,ab,None,,,,,,2025-01-01T12:12:23.976188,2025-01-01T06:53:12Z,pingchen,,27.54228703338160,2.0293907056008900,13.571702559476600
661659906,60676.291446,20.31,0.083,25,sdssi,SEDM,2,ab,None,,,,,,2025-01-01T12:12:23.976201,2025-01-01T06:59:40Z,pingchen,,27.289777828080400,2.0861895825195000,13.081159093471400
662551249,60676.323923599900,20.421354727596600,0.2936924643519170,20.093508508164200,ztfi,ZTF,1,ab,alert_fp,NaN,,,,,2025-01-04T06:59:55.130704,2025-01-01T07:46:26Z,kowalski-bot,ZTF Public+Partnership,24.629642549562500,6.662336933029940,3.6968473370741500
662551250,60676.332592600000,20.05157352452500,0.1812993177870630,20.247468888897000,ztfi,ZTF,1,ab,alert_fp,NaN,,,,,2025-01-04T06:59:55.130740,2025-01-01T07:58:56Z,kowalski-bot,ZTF Public+Partnership,34.623469922423000,5.781525428411570,5.988639218341300
662551247,60676.338657400100,20.420566734007500,0.1999253494985370,20.51028286334940,ztfg,ZTF,1,ab,alert_fp,NaN,,,,,2025-01-04T06:59:54.951471,2025-01-01T08:07:39Z,kowalski-bot,ZTF Public,24.64752446683930,4.538547136690830,5.430708049186510
661773910,60677.201313,20.254,0.09,25,sdssg,SEDM,2,ab,None,,,,,,2025-01-02T08:09:47.051101,2025-01-02T04:49:53Z,pingchen,,28.73425886674860,2.3818707404930700,12.063735608423700
661773911,60677.205829,20.245,0.08,25,sdssr,SEDM,2,ab,None,,,,,,2025-01-02T08:09:47.051148,2025-01-02T04:56:23Z,pingchen,,28.97343587701320,2.134841649383340,13.571702559476600
661773912,60677.21035,20.265,0.114,25,sdssi,SEDM,2,ab,None,,,,,,2025-01-02T08:09:47.051161,2025-01-02T05:02:54Z,pingchen,,28.44461107447910,2.986623867086570,9.524001796123940
662175076,60677.988976,20.591365057587000,0.22699721605265300,21.104819063340700,sdssu,IOO,33,ab,LT_IOO_PIPE,[object Object],,,,,2025-01-03T08:38:25.929180,2025-01-02T23:44:07Z,khinds,,21.0597871248674,4.403015232481230,4.783037535166460
662175072,60677.992269,20.299255163788200,0.05393437562303640,22.468888803543300,sdssg,IOO,33,ab,LT_IOO_PIPE,[object Object],,,,,2025-01-03T08:36:07.610243,2025-01-02T23:48:52Z,khinds,,27.561188061944500,1.3691129235956600,20.130690162182800
662175073,60677.995118,20.373576958737700,0.06055656611142820,22.475966096382000,sdssr,IOO,33,ab,LT_IOO_PIPE,[object Object],,,,,2025-01-03T08:36:42.470701,2025-01-02T23:52:58Z,khinds,,25.73766930714990,1.4355097178505800,17.929289497034900
662018159,60677.997945,,,19.872200152153200,sdssi,IOO,33,ab,LT_IOO_PIPE,[object Object],,,,,2025-01-03T00:08:05.569312,2025-01-02T23:57:02Z,khinds,,,40.843216750005800,
662175075,60678.000813,20.946173794948200,0.1891706432609390,21.638339933440900,sdssz,IOO,33,ab,LT_IOO_PIPE,[object Object],,,,,2025-01-03T08:37:49.239250,2025-01-03T00:01:10Z,khinds,,15.189045463222500,2.6464269020461900,5.739453997946630
