mjd,mag,magerr,limiting_mag,filter,instrument_name
60500.4582523,,,21.0,ZTF-g,ZTF
60503.4579861,,,20.85,ZTF-g,ZTF
60507.4367014,,,21.33,ZTF-g,ZTF
60510.4396528,,,20.19,ZTF-g,ZTF
60513.3994329,,,19.86,ZTF-g,ZTF
60515.4418403,19.48,0.25,-99,ZTF-g,ZTF
60518.4007407,19.47,0.09,-99,ZTF-g,ZTF
60520.3501042,20.28,0.15,-99,ZTF-g,ZTF
60522.4227546,20.67,0.15,-99,ZTF-g,ZTF
60525.3502662,,,20.94,ZTF-g,ZTF
60527.3179977,21.49,0.36,-99,ZTF-g,ZTF
60531.3517245,,,21.05,ZTF-g,ZTF
60532.3098032,,,21.23,ZTF-g,ZTF
60533.3092245,,,20.52,ZTF-g,ZTF
60536.3388773,,,21.08,ZTF-g,ZTF
60538.3577778,,,20.63,ZTF-g,ZTF
60544.3782639,,,19.76,ZTF-g,ZTF
60547.3315972,,,20.67,ZTF-g,ZTF
60549.3297106,,,21.03,ZTF-g,ZTF
60551.3179398,,,21.29,ZTF-g,ZTF
60553.3061227,,,21.05,ZTF-g,ZTF
60554.2974653,,,20.94,ZTF-g,ZTF
60555.3002199,,,21.24,ZTF-g,ZTF
60556.4098958,,,21.1,ZTF-g,ZTF
60556.4108333,,,21.11,ZTF-g,ZTF
60558.2890162,,,21.16,ZTF-g,ZTF
60562.2960764,,,20.67,ZTF-g,ZTF
60564.2754745,,,20.85,ZTF-g,ZTF
60566.339375,,,20.5,ZTF-g,ZTF
60569.2605903,,,19.74,ZTF-g,ZTF
60575.2785301,,,20.47,ZTF-g,ZTF
60576.2573495,,,20.81,ZTF-g,ZTF
60577.3718287,,,20.49,ZTF-g,ZTF
60578.39625,,,20.59,ZTF-g,ZTF
60582.3879977,,,20.96,ZTF-g,ZTF
60592.2139931,,,21.09,ZTF-g,ZTF
60594.324213,,,20.81,ZTF-g,ZTF
60596.2275463,,,20.44,ZTF-g,ZTF
60602.2676736,,,19.07,ZTF-g,ZTF
60604.2389699,,,20.72,ZTF-g,ZTF
60606.1931713,,,20.99,ZTF-g,ZTF
60608.2386343,,,21.17,ZTF-g,ZTF
60610.2112847,,,17.62,ZTF-g,ZTF
60614.3655903,,,20.22,ZTF-g,ZTF
60616.0949306,,,20.84,ZTF-g,ZTF
60619.1981944,,,20.23,ZTF-g,ZTF
60623.1235185,,,20.71,ZTF-g,ZTF
60625.1917014,,,20.12,ZTF-g,ZTF
