,rest_wave,flux
0,106.6065,4.304283951731915e-11
1,110.121,-4.8172860702452654e-14
2,112.464,-8.121087973249229e-16
3,114.807,2.861120705489216e-15
4,117.15,3.521217560299482e-16
5,119.493,-2.7076206357073454e-15
6,121.836,-7.603181231787711e-16
7,124.179,1.5146423674054318e-15
8,126.52199999999999,-1.1384964851526538e-15
9,128.865,3.72141958051057e-16
10,133.551,-2.496666996300814e-16
11,138.237,-3.371000426118743e-16
12,141.7515,9.30356551270762e-17
13,146.4375,-2.341361564225961e-18
14,148.7805,-2.362865863445167e-17
15,149.952,7.352463579518398e-17
16,153.4665,1.7536736231034705e-17
17,154.638,1.784394255491992e-16
18,156.981,-1.7356690634829803e-16
19,160.4955,2.3429958096913865e-16
20,164.01,-1.136036352401484e-16
21,167.5245,-2.4800960878177673e-16
22,172.2105,-7.760412300239466e-17
23,176.8965,-2.552062102911178e-16
24,181.5825,-1.0506473795535005e-16
25,186.2685,1.150644899117246e-16
26,189.783,-1.2695693850232968e-16
27,194.469,-5.325461061623111e-16
28,199.155,-5.680072655863308e-16
29,202.6695,-2.2848254002264874e-16
30,207.3555,-3.2314265138243266e-16
31,210.87,-2.0260960982000169e-16
32,213.213,-4.15420125503613e-16
33,217.899,6.092412059625505e-16
34,223.7565,1.2315847303290226e-16
35,227.271,-3.648892981971164e-16
36,231.957,-3.974637748584216e-16
37,236.643,-9.233581321016119e-17
38,240.1575,-3.6167634011712776e-16
39,246.015,-9.205579554150522e-17
40,253.04399999999998,7.100646950317058e-16
41,257.73,-5.03096615807104e-16
42,261.2445,-4.715321324345366e-16
43,265.9305,-3.503339579281434e-16
44,269.445,-7.781261489151266e-16
45,274.131,-5.439982479927096e-16
46,281.15999999999997,7.040510681573094e-16
47,288.189,-1.8204882915022511e-16
48,295.218,-5.078437080820532e-16
49,301.0755,2.254569500130016e-16
50,304.59,-5.155439835286981e-16
51,309.276,5.382515863150781e-16
52,315.13349999999997,-4.595829672314857e-16
53,320.991,7.460012496854896e-16
54,326.8485,-4.3151397874971745e-16
55,332.706,-5.648224347602708e-16
56,339.735,1.2570293300556825e-17
57,346.764,1.257255751710842e-16
58,352.62149999999997,-1.3607467590521937e-16
59,360.822,-9.201897432302423e-16
60,372.537,5.69644918810765e-16
61,384.252,1.0003799219396466e-15
62,395.967,4.220485144414345e-16
63,407.682,-7.962131747621255e-16
64,418.2255,8.899781637913723e-16
65,428.769,-1.485069341630364e-16
66,439.3125,-8.47158053339328e-16
67,451.0275,3.0551928223530464e-16
68,462.7425,-7.437806341965502e-17
69,474.4575,7.480163405712541e-16
70,485.001,-9.024359383547825e-16
71,494.373,2.3971148520176817e-16
72,503.745,-9.403080267735637e-17
73,516.6315,4.2095813841531815e-16
74,528.3465,1.0884333861644723e-16
75,538.89,-8.665296720350855e-16
76,550.605,9.299842655514187e-16
77,562.3199999999999,7.257652453081579e-16
78,574.035,3.3735886026133427e-16
79,585.75,6.401015249161521e-16
80,592.779,-5.759558214134562e-16
81,599.808,7.534422328422411e-16
82,609.18,-3.77326806757401e-16
83,620.895,-2.7038249818498036e-16
84,632.61,2.9848599192674245e-16
85,644.325,3.082186630017926e-16
86,656.04,-1.5407317023418071e-15
87,667.755,-1.9912065437121007e-16
88,679.47,5.944759749627729e-16
89,691.185,8.373354715082385e-16
90,702.9,5.246104023434127e-16
91,714.615,-3.4639606838201787e-16
92,726.33,-1.4208014706481051e-15
93,738.045,6.732333233191714e-16
94,749.76,8.43354753070842e-16
95,761.475,-5.017392490670859e-16
96,770.847,2.445478048602371e-15
97,779.0475,1.9640519449672844e-15
98,790.7625,-6.43543405355185e-16
99,802.4775,2.9121702600769586e-15
100,814.1925,3.705427226033997e-15
101,825.9075,3.0433331824408827e-15
102,838.794,5.622444051071526e-15
103,850.509,7.770795642043705e-15
104,861.0525,6.470828579761708e-15
105,872.7675,8.782565181237576e-15
106,884.4825,1.1826850326747403e-14
107,896.1975,1.7446229756059527e-14
108,907.9125,2.293949021495544e-14
109,919.6274999999999,2.920581737524571e-14
110,931.3425,3.358716095687932e-14
111,943.0575,4.0966509661129884e-14
112,954.7725,5.216544059972867e-14
113,966.4875,6.05957623007215e-14
114,978.2025,7.776196785637384e-14
115,989.9175,8.642948470076786e-14
116,1001.6324999999999,1.0442264369128803e-13
117,1013.3475,1.2524328222787125e-13
118,1025.0625,1.6607558130618806e-13
119,1036.7775,2.430168728022617e-13
120,1048.4925,3.922389041499444e-13
121,1060.2075,1.4025435062603877e-11
122,1071.9225,3.628569797120699e-10
123,1083.6375,3.4018912512279684e-10
124,1095.3525,4.59471527392226e-10
125,1107.0674999999999,4.3976407920361746e-10
126,1118.7825,4.963021718114205e-10
127,1130.4975,5.28627671409675e-10
128,1142.2125,3.599662873741109e-10
129,1153.9275,4.280360745158224e-10
130,1165.6425,6.372553512562807e-10
131,1177.3575,6.849905693568519e-10
132,1189.0725,6.650169469553836e-10
133,1200.7875,5.488830395135802e-10
134,1212.5025,6.390090316219412e-10
135,1224.2175,8.911182502976944e-10
136,1235.9325,9.438196929628675e-10
137,1247.6475,9.090250149335582e-10
138,1259.3625,9.111570334951115e-10
139,1271.0774999999999,8.95471363656068e-10
140,1282.7925,1.047210148749341e-09
141,1294.5075,1.0601757531750433e-09
142,1306.2225,9.980995026779238e-10
143,1317.9375,8.500771300858939e-10
144,1329.6525,1.1589397831213274e-09
145,1341.3675,1.1480675642659076e-09
146,1353.0825,9.894899418827998e-10
147,1364.7975,1.0989766622649895e-09
148,1376.5125,1.2826363712139634e-09
149,1388.2275,1.905043561673717e-09
150,1399.9424999999999,2.3876950525909807e-09
151,1411.6575,2.9205858806850834e-09
152,1423.3725,3.1123717977770772e-09
153,1435.0875,3.0952627215972626e-09
154,1446.8025,2.6078998533746488e-09
155,1458.5175,2.2469405666164503e-09
156,1470.2325,1.7083578577404915e-09
157,1481.9475,1.4746694562079569e-09
158,1493.6625,1.5287503664036548e-09
159,1505.3775,1.4478236463608381e-09
160,1517.0925,1.4004985399264074e-09
161,1528.8075,1.47834222368527e-09
162,1540.5225,1.5356139929476817e-09
163,1552.2375,1.5393560755324526e-09
164,1563.9524999999999,1.5521562198640875e-09
165,1575.6675,1.5245298490572338e-09
166,1587.3825,1.6475013884288146e-09
167,1599.0975,1.6000942467158323e-09
168,1610.8125,1.659065150793691e-09
169,1622.5275,1.6499258538130665e-09
170,1634.2425,1.6953502015112795e-09
171,1645.9575,1.7875471772894457e-09
