,rest_wave,flux
0,98.8988,3.394457714810926e-14
1,102.1592,3.8363064648350917e-14
2,104.33279999999999,4.523207345406707e-14
3,106.5064,5.5130576833910206e-14
4,108.67999999999999,6.645014106518324e-14
5,110.8536,6.016736479596052e-14
6,113.0272,7.620873669958976e-14
7,115.2008,9.224365628526911e-14
8,117.3744,1.1073856168420604e-13
9,119.548,1.1210343969278961e-13
10,123.8952,1.4076597521865363e-13
11,128.2424,1.7671087219857116e-13
12,131.5028,2.7762408680331523e-13
13,135.85,3.068037534464029e-13
14,138.0236,3.1034248711226387e-13
15,139.1104,3.051013356623617e-13
16,142.3708,2.1503807564466164e-13
17,143.45759999999999,2.1758953308120911e-13
18,145.6312,2.2087720597670386e-13
19,148.8916,2.88412991690984e-13
20,152.152,4.4614369403752263e-13
21,155.4124,4.897709981724418e-13
22,159.7596,4.705417044028182e-13
23,164.1068,4.783383684868106e-13
24,168.454,5.54598770230594e-13
25,172.8012,6.569266824580778e-13
26,176.0616,5.516488930900715e-13
27,180.40879999999999,4.4479036827013844e-13
28,184.756,4.33837910651549e-13
29,188.0164,7.438129662744531e-13
30,192.3636,8.865009305248229e-13
31,195.624,8.354336437878763e-13
32,197.7976,6.689837153629981e-13
33,202.1448,9.402953436650434e-13
34,207.5788,7.153155759888316e-13
35,210.8392,6.703861568935019e-13
36,215.1864,1.3513215643511351e-12
37,219.5336,1.2048634414362853e-12
38,222.794,1.054857048601075e-12
39,228.228,1.2811434982109185e-12
40,234.7488,2.085357143221459e-12
41,239.096,1.7912211107864735e-12
42,242.3564,2.0633103217017302e-12
43,246.7036,2.120697318108429e-12
44,249.964,3.973188916329982e-12
45,254.31119999999999,4.278654806966366e-12
46,260.832,6.016361672783933e-12
47,267.3528,3.996628456826667e-11
48,273.8736,6.125647171952454e-11
49,279.3076,1.0591381852132025e-10
50,282.568,2.771102419175021e-11
51,286.91519999999997,4.3590733142825765e-11
52,292.3492,5.319590350209884e-11
53,297.7832,1.4092446294052123e-10
54,303.2172,4.714326005352627e-11
55,308.6512,7.145203852115934e-11
56,315.17199999999997,3.946213965997092e-11
57,321.6928,5.0122541297395984e-11
58,327.1268,1.0276679698140081e-10
59,334.7344,1.2916795298517522e-10
60,345.6024,1.1325979434155362e-10
61,356.4704,2.047767927551379e-10
62,367.3384,1.1571146719845126e-10
63,378.2064,1.6925857548741494e-10
64,387.9876,3.831672716151661e-11
65,397.7688,1.6427808537065172e-10
66,407.55,1.4585418553109165e-10
67,418.418,2.2080654324377332e-10
68,429.286,1.5036600928832612e-10
69,440.154,1.980808024251457e-10
70,449.9352,2.297974112969651e-10
71,458.6296,2.5856868054363404e-10
72,467.324,2.5888031443518784e-10
73,479.2788,1.8796747389171004e-10
74,490.1468,3.2834901273726704e-10
