,rest_wave,flux
0,98.8988,7.719528632317888e-12
1,102.1592,-8.193844063081043e-15
2,104.33279999999999,7.359023332420822e-16
3,106.5064,2.000230715215611e-15
4,108.67999999999999,2.5055334176255157e-15
5,110.8536,1.0678421760760112e-15
6,113.0272,2.9417620193022887e-15
7,115.2008,5.248692791890796e-15
8,117.3744,5.0794478832377886e-15
9,119.548,7.733147562503296e-15
10,123.8952,5.924837601684043e-15
11,128.2424,8.941964852323481e-15
12,131.5028,1.532722265136541e-14
13,135.85,1.8746983873003412e-14
14,138.0236,1.7853378914245937e-14
15,139.1104,1.7739680460098547e-14
16,142.3708,2.0852609531923403e-14
17,143.45759999999999,2.349375719432227e-14
18,145.6312,2.3268469555159956e-14
19,148.8916,2.6168816337955316e-14
20,152.152,3.230570373380986e-14
21,155.4124,3.6935170703997865e-14
22,159.7596,3.306398481668086e-14
23,164.1068,3.940497926376615e-14
24,168.454,4.3911754692437754e-14
25,172.8012,5.081717210594747e-14
26,176.0616,5.225795457683723e-14
27,180.40879999999999,6.298294524935182e-14
28,184.756,6.548994597790488e-14
29,188.0164,5.398269198440632e-14
30,192.3636,6.322325388209488e-14
31,195.624,7.603390227412241e-14
32,197.7976,8.038413268522616e-14
33,202.1448,7.305569799253119e-14
34,207.5788,8.42992897326402e-14
35,210.8392,9.664789190641131e-14
36,215.1864,1.0587917130344147e-13
37,219.5336,9.962517188737142e-14
38,222.794,1.0698276977103588e-13
39,228.228,1.1594014959250005e-13
40,234.7488,1.2321504211469667e-13
41,239.096,1.0387740439835365e-13
42,242.3564,1.2384108554998812e-13
43,246.7036,1.3812232459646602e-13
44,249.964,1.6561666162591881e-13
45,254.31119999999999,3.5261248727101367e-13
46,260.832,5.574449123909682e-13
47,267.3528,5.474091687155607e-13
48,273.8736,6.998090222906949e-13
49,279.3076,5.64013135236585e-13
50,282.568,6.711280993000138e-13
51,286.91519999999997,7.794884806330383e-13
52,292.3492,7.451008306872018e-13
53,297.7832,7.864422103625592e-13
54,303.2172,7.368283163263168e-13
55,308.6512,7.830664594048779e-13
56,315.17199999999997,7.918708674084594e-13
57,321.6928,7.339291423681221e-13
58,327.1268,7.447974071664136e-13
59,334.7344,6.522514448553036e-13
60,345.6024,8.32655781484419e-13
61,356.4704,8.674014614529245e-13
62,367.3384,7.785644742587549e-13
63,378.2064,7.9663157372247e-13
64,387.9876,7.95607889051608e-13
65,397.7688,8.471876168326774e-13
66,407.55,8.254654690351701e-13
67,418.418,7.688660675755687e-13
68,429.286,8.361803854488131e-13
69,440.154,8.402041006528259e-13
70,449.9352,8.254557577135427e-13
71,458.6296,8.101469542523268e-13
72,467.324,8.149165524479993e-13
73,479.2788,7.791064917986803e-13
74,490.1468,8.123567095987658e-13
75,499.928,7.968875354671424e-13
76,510.796,8.05089456083877e-13
77,521.664,7.859046976868423e-13
