,rest_wave,flux
0,98.8988,6.5307402178743744e-12
1,102.1592,-7.181014870905403e-15
2,104.33279999999999,4.3480635654894764e-16
3,106.5064,1.4900396097221156e-15
4,108.67999999999999,1.6813179948943836e-15
5,110.8536,4.923937639177539e-16
6,113.0272,1.8296383904207253e-15
7,115.2008,3.850662212952029e-15
8,117.3744,3.597923364293739e-15
9,119.548,5.911945882961821e-15
10,123.8952,4.153541339775433e-15
11,128.2424,6.451872182538917e-15
12,131.5028,1.2387931095176496e-14
13,135.85,1.5184984290399374e-14
14,138.0236,1.374607661747196e-14
15,139.1104,1.4322290834444485e-14
16,142.3708,1.629777042026005e-14
17,143.45759999999999,1.9218703436769377e-14
18,145.6312,1.8651262549537055e-14
19,148.8916,2.0894807582958464e-14
20,152.152,2.7012078081649667e-14
21,155.4124,2.950759488107675e-14
22,159.7596,2.494891803252936e-14
23,164.1068,3.1159622066917154e-14
24,168.454,3.4702910121718196e-14
25,172.8012,4.151336136207222e-14
26,176.0616,4.083732042974384e-14
27,180.40879999999999,5.127358133921599e-14
28,184.756,5.293547301923259e-14
29,188.0164,4.4532103338121833e-14
30,192.3636,5.065629219104015e-14
31,195.624,6.202763626286959e-14
32,197.7976,6.835829470691988e-14
33,202.1448,5.98785356161268e-14
34,207.5788,7.177853568836288e-14
35,210.8392,8.222401101539902e-14
36,215.1864,9.261695879110977e-14
37,219.5336,8.577928917227428e-14
38,222.794,9.130156432653886e-14
39,228.228,9.998103389343489e-14
40,234.7488,1.0435161366449457e-13
41,239.096,8.306059034385281e-14
42,242.3564,1.0369488237111603e-13
43,246.7036,1.215076056669481e-13
44,249.964,1.381988484000851e-13
45,254.31119999999999,2.7178951019619215e-13
46,260.832,4.0299422016198306e-13
47,267.3528,3.987729599623792e-13
48,273.8736,5.119285745768326e-13
49,279.3076,4.3397923877841056e-13
50,282.568,4.960800897227612e-13
51,286.91519999999997,5.904194147259941e-13
52,292.3492,5.560054870170742e-13
53,297.7832,5.863011139804302e-13
54,303.2172,5.383456339510938e-13
55,308.6512,5.855048084682857e-13
56,315.17199999999997,5.989198053293474e-13
57,321.6928,5.497284242392645e-13
58,327.1268,5.810192933984338e-13
59,334.7344,4.955454217897446e-13
60,345.6024,6.355764626189275e-13
61,356.4704,6.807360587439419e-13
62,367.3384,6.013172222821766e-13
63,378.2064,6.119038971556365e-13
64,387.9876,6.206459112381296e-13
65,397.7688,6.746290064653556e-13
