,rest_wave,flux
0,98.8988,3.9167827883222924e-15
1,102.1592,3.1575178100855832e-15
2,104.33279999999999,4.173326094480071e-15
3,106.5064,5.716735771761306e-15
4,108.67999999999999,8.178877024461873e-15
5,110.8536,7.456079395152097e-15
6,113.0272,1.0794571915227023e-14
7,115.2008,1.464320129039991e-14
8,117.3744,1.8122842395877554e-14
9,119.548,2.0575031937451778e-14
10,123.8952,2.5402567313735412e-14
11,128.2424,3.492973081470129e-14
12,131.5028,5.889949230890938e-14
13,135.85,7.015491843583816e-14
14,138.0236,7.173248448185345e-14
15,139.1104,7.176868960515203e-14
16,142.3708,5.709602510484921e-14
17,143.45759999999999,5.994164549133585e-14
18,145.6312,6.079441076250605e-14
19,148.8916,7.959778487778058e-14
20,152.152,1.220248920369145e-13
21,155.4124,1.3847274793456344e-13
22,159.7596,1.3603015836261115e-13
23,164.1068,1.4460247818021082e-13
24,168.454,1.706903987757998e-13
25,172.8012,2.060436363763386e-13
26,176.0616,1.8112907882741152e-13
27,180.40879999999999,1.6011524381849078e-13
28,184.756,1.6061741511755918e-13
29,188.0164,2.441546126543055e-13
30,192.3636,2.9573831747328646e-13
31,195.624,2.909727084310116e-13
32,197.7976,2.4479174838207845e-13
33,202.1448,3.2555697017155143e-13
34,207.5788,2.669289361242831e-13
35,210.8392,2.6130690524033065e-13
36,215.1864,4.830207064578941e-13
37,219.5336,4.373170557910605e-13
38,222.794,3.958164336305685e-13
39,228.228,4.768864188473029e-13
40,234.7488,7.471145881506704e-13
41,239.096,6.445301901314047e-13
42,242.3564,7.47604236106823e-13
43,246.7036,7.786010507146952e-13
44,249.964,1.4141714783600828e-12
45,254.31119999999999,1.6486076155995956e-12
46,260.832,2.3828988245245925e-12
47,267.3528,1.3852635260280005e-11
48,273.8736,2.1257267460774445e-11
49,279.3076,3.646758507745978e-11
50,282.568,9.902613883889146e-12
51,286.91519999999997,1.5447588795765168e-11
52,292.3492,1.8776289429073016e-11
53,297.7832,4.910503141595161e-11
54,303.2172,1.6777071089812258e-11
55,308.6512,2.5280456587142073e-11
56,315.17199999999997,1.4232872780863598e-11
57,321.6928,1.794689533062858e-11
58,327.1268,3.6372563121116295e-11
59,334.7344,4.5647989299059675e-11
60,345.6024,4.033729532408066e-11
61,356.4704,7.2706345935972e-11
62,367.3384,4.137132588434214e-11
63,378.2064,6.041868135017189e-11
64,387.9876,1.4098898227671436e-11
65,397.7688,5.889186239556805e-11
66,407.55,5.240728621208613e-11
67,418.418,7.911675625768649e-11
68,429.286,5.41521311368995e-11
69,440.154,7.125078434135394e-11
70,449.9352,8.263065600597892e-11
71,458.6296,9.295741126589481e-11
72,467.324,9.313288394742047e-11
73,479.2788,6.779766693757727e-11
74,490.1468,1.181415910570062e-10
75,499.928,8.576665482881614e-11
76,510.796,1.5323214663741748e-10
77,521.664,1.0430062526340729e-10
78,532.532,9.979318921386778e-11
79,543.4,1.6735981979160371e-10
80,549.9208,1.5254628352277981e-10
81,556.4416,1.4638401627745546e-10
82,565.136,1.8317306555011707e-10
