,rest_wave,flux
0,98.8988,3.479304990227459e-15
1,102.1592,2.8974500544858956e-15
2,104.33279999999999,3.785975542458808e-15
3,106.5064,5.274859659587054e-15
4,108.67999999999999,7.516651515463978e-15
5,110.8536,6.796114141499104e-15
6,113.0272,9.55011082974056e-15
7,115.2008,1.3590854798850542e-14
8,117.3744,1.5440336078674563e-14
9,119.548,1.916258033717496e-14
10,123.8952,1.8274328352358302e-14
11,128.2424,2.493984145010605e-14
12,131.5028,4.09953067544527e-14
13,135.85,4.836326169475654e-14
14,138.0236,4.567803580254328e-14
15,139.1104,4.6662937554359854e-14
16,142.3708,4.865604178962011e-14
17,143.45759999999999,5.417546235913486e-14
18,145.6312,5.441132449639384e-14
19,148.8916,6.449818991771652e-14
20,152.152,7.927853209110106e-14
21,155.4124,9.266082141599438e-14
22,159.7596,8.047128068128569e-14
23,164.1068,1.0191952154729977e-13
24,168.454,1.1543643763225247e-13
25,172.8012,1.4788608891405362e-13
26,176.0616,1.0843159728909134e-13
27,180.40879999999999,1.2459537083150603e-13
28,184.756,1.2329646680603683e-13
29,188.0164,1.4665414615906645e-13
30,192.3636,1.8217096369714355e-13
31,195.624,1.7524312921015624e-13
32,197.7976,1.8779412133515381e-13
33,202.1448,1.7503258492113054e-13
34,207.5788,2.3148299306077417e-13
35,210.8392,1.9405581897846375e-13
36,215.1864,3.355690188839061e-13
37,219.5336,3.1855701196738404e-13
38,222.794,3.1221169581049914e-13
39,228.228,3.859890935193446e-13
40,234.7488,5.672806920229681e-13
41,239.096,4.077726531994081e-13
42,242.3564,5.69450413893129e-13
43,246.7036,5.656110146326559e-13
44,249.964,1.1050270651420616e-12
45,254.31119999999999,1.201077566380905e-12
46,260.832,1.8110467532143552e-12
47,267.3528,9.841899429929213e-12
48,273.8736,1.544040211123341e-11
49,279.3076,3.0327183628013334e-11
50,282.568,6.588314493503841e-12
51,286.91519999999997,1.246160208196256e-11
52,292.3492,1.529957129701535e-11
53,297.7832,4.2436812025283027e-11
54,303.2172,1.5475261450895382e-11
55,308.6512,1.849901486352023e-11
56,315.17199999999997,1.1349871921413884e-11
57,321.6928,1.4623637294000287e-11
58,327.1268,2.5626396697334673e-11
59,334.7344,3.292035715407054e-11
60,345.6024,3.29909902874066e-11
61,356.4704,6.424525057503763e-11
62,367.3384,3.7126932844060685e-11
63,378.2064,5.1551692623603476e-11
64,387.9876,1.0504010343301507e-11
65,397.7688,5.0217186451347495e-11
66,407.55,4.8819337961614456e-11
67,418.418,6.647672573629552e-11
68,429.286,4.4361080107300976e-11
69,440.154,6.249878701398086e-11
70,449.9352,7.147248882574419e-11
71,458.6296,7.943601128249499e-11
72,467.324,7.877068306669232e-11
73,479.2788,5.535489050731303e-11
