#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	FB13_UV	FB13_IR	SLSNe	K12CCSN	Ca-rich	F22_OPT
1.21	0.24	0.09	0.18	1.11	1.5	0.09	0.08	0.18
1.76	0.2	0.1	0.46	4.56	1.2	0.66	0.23	1.39
1.51	0.61	0.22	0.88	1.5	0.9	1.63	0.4	0.86
1.24	0.37	0.26	1.36	9.25	1.1	0.58	0.19	0.37
0.52	0.12	0.27	1.89	3.28	0.4	0.39	1.2	1.17
2.29	0.16	0.28	1.91	3.46	0.9	0.7	999	1.11
5.44	0.07	0.37	2.09	10.36	0.9	1.32	0.52	5.17
0.54	0.26	0.38	2.14	1.19	1.4	0.17	999	1.49
0.69	0.06	0.38	5.55	0.29	2.3	0.7	0.52	9.34
2	0.19	0.4	6.67	1.99	1.9	0.68	0.65	3.08
3.2	0.16	0.47	9.29	15.53	0.8	0.71	0.88	3.46
1.04	0.1	0.5	10.35	0.57	0.4	0.83	999	4.61
0.78	0.07	0.5	14.91	1.05	1	0.8	2.99	4.06
5.74	0.39	0.52	999	999	0.4	0.54	2.93	1.19
8.29	0.17	0.6	999	999	0.2	0.55	1.9	0.29
999	0.2	0.61	999	999	999	0.77	1.25	1.66
999	0.28	0.7	999	999	999	1.25	0.9	13.98
999	0.26	0.71	999	999	999	2.14	0.67	1.93
999	0.21	0.81	999	999	999	1.31	0.88	0.61
999	0.2	0.88	999	999	999	0.66	2.93	0.71
999	0.21	0.88	999	999	999	0.56	21.94	1.41
999	0.28	0.91	999	999	999	1.04	12.2	0.25
999	0.33	0.97	999	999	999	0.49	5.43	0.78
999	0.21	0.99	999	999	999	1	999	1.5
999	0.37	1.08	999	999	999	0.65	999	3.42
999	0.21	1.27	999	999	999	0.86	999	2.37
999	0.26	1.34	999	999	999	0.76	999	4.24
999	0.24	1.35	999	999	999	0.21	999	0.24
999	0.18	1.61	999	999	999	1.29	999	0.49
999	0.35	3.38	999	999	999	0.96	999	3.2
999	0.17	999	999	999	999	0.65	999	999
999	0.28	999	999	999	999	1.61	999	999
999	0.33	999	999	999	999	0.69	999	999
999	0.11	999	999	999	999	0.95	999	999
999	0.41	999	999	999	999	0.63	999	999
999	0.12	999	999	999	999	0.1	999	999
999	0.34	999	999	999	999	0.56	999	999
999	0.4	999	999	999	999	1.02	999	999
999	0.12	999	999	999	999	0.35	999	999
999	0.19	999	999	999	999	0.53	999	999
999	0.15	999	999	999	999	0.51	999	999
999	0.25	999	999	999	999	2.29	999	999
999	0.09	999	999	999	999	0.73	999	999
999	0.23	999	999	999	999	0.32	999	999
999	0.13	999	999	999	999	7.52	999	999
999	0.08	999	999	999	999	0.64	999	999
999	0.2	999	999	999	999	1.48	999	999
999	0.31	999	999	999	999	1.19	999	999
999	0.19	999	999	999	999	1.33	999	999
999	0.3	999	999	999	999	0.47	999	999
999	0.26	999	999	999	999	0.3	999	999
999	0.7	999	999	999	999	1.01	999	999
999	0.3	999	999	999	999	1.6	999	999
999	0.41	999	999	999	999	1.11	999	999
999	0.41	999	999	999	999	0.28	999	999
999	0.12	999	999	999	999	0.16	999	999
999	0.12	999	999	999	999	1.59	999	999
999	0.59	999	999	999	999	1.8	999	999
999	0.4	999	999	999	999	0.69	999	999
999	0.28	999	999	999	999	1.17	999	999
999	0.22	999	999	999	999	0.93	999	999
999	0.52	999	999	999	999	2.45	999	999
999	0.69	999	999	999	999	1.82	999	999
999	0.71	999	999	999	999	1.29	999	999
999	0.42	999	999	999	999	1.06	999	999
999	0.44	999	999	999	999	0.85	999	999
999	0.68	999	999	999	999	2.35	999	999
999	1.2	999	999	999	999	1.57	999	999
999	0.64	999	999	999	999	0.58	999	999
999	0.24	999	999	999	999	1.77	999	999
999	0.44	999	999	999	999	0.36	999	999
999	999	999	999	999	999	0.35	999	999
999	999	999	999	999	999	0.39	999	999
