Host           band    mag     magerr   system      extinction      source      ref
SLSN-I_LSQ12dlf   g     25.49  0.25  AB  no  Magellan/IMACS                    (4)
SLSN-I_LSQ12dlf   i     24.73  0.32  AB  no  Magellan/IMACS                    (4)
SLSN-I_LSQ12dlf   J     24.38  0.31  AB  no  Magellan/FourStar                 (4)
SLSN-I_LSQ12dlf   V     25.04  0.15  AB  no  NTT/EFOSC2                        (8)
SLSN-I_LSQ12dlf   R     24.64  0.11  AB  no  VLT/FORS2                         (4)
SLSN-I_LSQ14an    FUV   21.72  0.39  AB  no  GALEX                             (7)
SLSN-I_LSQ14an    NUV   21.27  0.36  AB  no  GALEX                             (7)
SLSN-I_LSQ14an    B     21.34  0.14  AB  no  CTIO-4m/MOSAIC-2                  (4)
SLSN-I_LSQ14an    V     20.79  0.10  AB  no  CTIO-4m/MOSAIC-2                  (4)
SLSN-I_LSQ14an    V     20.69  0.01  AB  no  Subaru/Suprime-Cam                (4)
SLSN-I_LSQ14an    R     20.47  0.08  AB  no  CTIO-4m/MOSAIC-2                  (4)
SLSN-I_LSQ14an    J     20.66  0.06  AB  no  Magellan/FourStar                 (4)
SLSN-I_LSQ14an    Ks    20.43  0.10  AB  no  Magellan/FourStar                 (4)
SLSN-I_LSQ14an    UVW2  21.78  0.12  AB  no  Swift/UVOT                        (4)
SLSN-I_LSQ14an    UVM2  21.66  0.14  AB  no  Swift/UVOT                        (4)
SLSN-I_LSQ14an    U     21.17  0.14  AB  no  Swift/UVOT                        (4)    
SLSN-I_LSQ14mo    g     24.32  0.06  AB  no  Magellan/IMACS                    (4)
SLSN-I_LSQ14mo    r     23.85  0.14  AB  no  Magellan/IMACS                    (4)
SLSN-I_LSQ14mo    i     23.50  0.08  AB  no  Magellan/IMACS                    (4)
SLSN-I_LSQ14mo    J     23.47  0.12  AB  no  Magellan/FourStar                 (4)
SLSN-I_LSQ14mo    Ks    23.10  0.12  AB  no  Magellan/FourStar                 (4)
SLSN-I_MLS121104  g     22.04  0.16  AB  no  SDSS                              (4)
SLSN-I_MLS121104  r     21.22  0.11  AB  no  SDSS                              (4)
SLSN-I_MLS121104  i     21.32  0.16  AB  no  SDSS                              (4)
SLSN-I_MLS121104  z     20.58  0.32  AB  no  SDSS                              (4)
SLSN-I_MLS121104  J     20.39  0.10  AB  yes Magellan/FourStar                 (9)
SLSN-I_MLS121104  Ks    19.63  0.12  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF09as    u     23.01  0.06  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09as    g     22.35  0.10  std no  SDSS                              (1)
SLSN-I_PTF09as    r     21.73  0.09  std no  SDSS                              (1)
SLSN-I_PTF09as    i     21.71  0.14  std no  SDSS                              (1)
SLSN-I_PTF09as    z     21.20  0.36  std no  SDSS                              (1)
SLSN-I_PTF09cnd   F390W 24.01  0.05  AB  no  HST/WFC3                          (10)
SLSN-I_PTF09cnd   B     23.90  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09cnd   g     23.45  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09cnd   V     23.12  0.04  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09cnd   r     22.87  0.03  AB  yes WHT/ACAM                          (10)
SLSN-I_PTF09cnd   R     22.78  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09cnd   i     22.76  0.05  std no  KeckI/LRIS                        (1)
SLSN-I_PTF09cnd   J     21.55  0.08  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF09cnd   F160W 22.56  0.12  AB  no  HST/WFC3                          (10)
SLSN-I_PTF09cnd   Ks    20.28  0.15  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF09cnd   3.6   22.95  0.09  AB  no  Spitzer/IRAC                      (1) 
SLSN-I_PTF10aagc  u     22.35  0.04  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  B     22.07  0.05  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  g     21.60  0.01  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  R     20.85  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  i     20.92  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  z     20.84  0.07  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10aagc  H     18.89  0.17  std no  P200/WIRC                         (1)
SLSN-I_PTF10aagc  Ks    18.53  0.22  std no  P200/WIRC                         (1)
SLSN-I_PTF10bfz   u     22.54  0.07  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10bfz   B     22.56  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10bfz   R     21.75  0.02  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF10bfz   i     21.80  0.04  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10bfz   J     21.01  0.11  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10bfz   H     20.31  0.15  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10bfz   Ks    19.55  0.21  std no  P200/WIRC                         (1) 
SLSN-I_PTF10cwr   F160W 23.17  0.15  AB  no  HST/WFC3                          (10)
SLSN-I_PTF10cwr   u     23.90  0.08  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   B     23.87  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   g     23.53  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   g     23.64  0.04  AB  no  Gemini-S/GMOS                     (4)
SLSN-I_PTF10cwr   i     22.88  0.05  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   i     22.94  0.06  AB  no  Gemini-S/GMOS                     (4)
SLSN-I_PTF10cwr   V     23.30  0.04  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   F390W 23.96  0.04  AB  no  HST/WFC3                          (10)
SLSN-I_PTF10cwr   r     22.93  0.04  AB  no  Gemini-S/GMOS                     (4)
SLSN-I_PTF10cwr   R     22.76  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   z     23.10  0.08  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10cwr   z     23.25  0.20  AB  no  Gemini-S/GMOS                     (4)
SLSN-I_PTF10cwr   J     21.65  0.19  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10cwr   J     22.92  0.01  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10cwr   H     22.20  0.31  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10cwr   Ks    21.17  0.31  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10cwr   3.6   23.50  0.17  std no  Spitzer/IRAC                      (1)
SLSN-I_PTF10hgi   u     23.73  0.20  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   B     23.15  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   g     22.56  0.06  AB  yes Magellan/IMACS                    (9)
SLSN-I_PTF10hgi   g     22.69  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   R     21.82  0.19  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   r     22.05  0.06  AB  no  WHT/ACAM                          (10) 
SLSN-I_PTF10hgi   i     21.75  0.06  AB  yes Magellan/IMACS                    (9)
SLSN-I_PTF10hgi   i     21.96  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   z     21.93  0.18  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   J     21.48  0.08  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10hgi   Ks    21.66  0.13  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10hgi   3.6   21.75  0.03  AB  no  Spitzer/IRAC                      (1)                
SLSN-I_PTF10hgi   H     21.66  0.32  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF10hgi   Js    21.97  0.06  AB  no  VLT/ISAAC                         (4)
