Title: Multiwavelength Analysis of Six Luminous, Fast Blue Optical Transients
Authors: Sevilla, Cassie et al.
Table: Optical Photometry
================================================================================
Byte-by-byte Description of file: datafile10.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label         Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---     Object        Name of the LFBOT observed
  12- 25 A14    ---     Date-Time     YYYYMMDD-hh:ss UTC Date and Time when Observation was taken
  27- 29 I3     d       t-rest        Rest-frame days after t0 that the observation was taken
  31- 44 A14    ---     Facility      Facility/Instrument that took the Observation
  46- 49 A4     ---     Filter        Filter of the Observation
  51- 55 F2.2   mag     AB-Magnitude  Measured AB magnitude if detection, 3-sigma error if non-detection
  57- 60 F1.2   mag     AB-Mag-Error  ? AB magnitude error, blank if non-detection
--------------------------------------------------------------------------------
Note (1):   We omit all observations prior to six days before t0 and all ZTF non-detections more than fifty days after t0. For non-detections, we provide 3-σ upper limits.
--------------------------------------------------------------------------------
AT2022abfc 20221114-08:31  -6 P48/ZTF        r    19.68      
AT2022abfc 20221114-10:40  -6 P48/ZTF        g    19.65      
AT2022abfc 20221115-09:09  -5 P48/ZTF        r    20.40      
AT2022abfc 20221115-10:08  -5 P48/ZTF        g    20.19      
AT2022abfc 20221116-08:19  -4 P48/ZTF        r    19.36      
AT2022abfc 20221117-08:01  -3 P48/ZTF        g    19.69      
AT2022abfc 20221117-08:48  -3 P48/ZTF        r    19.53      
AT2022abfc 20221118-08:04  -2 P48/ZTF        g    20.51      
AT2022abfc 20221118-09:32  -2 P48/ZTF        r    20.13      
AT2022abfc 20221119-09:34  -2 P48/ZTF        g    19.71      
AT2022abfc 20221120-08:01  -1 P48/ZTF        r    20.35      
AT2022abfc 20221121-08:15   0 P48/ZTF        r    19.46 0.11 
AT2022abfc 20221121-09:03   0 P48/ZTF        g    19.49 0.14 
AT2022abfc 20221125-08:32   3 P48/ZTF        r    19.55 0.16 
AT2022abfc 20221125-09:32   3 P48/ZTF        g    19.71 0.20 
AT2022abfc 20221127-08:29   5 P48/ZTF        g    20.21 0.19 
AT2022abfc 20221127-07:32   5 P48/ZTF        r    20.32 0.32 
AT2022abfc 20221201-09:15   8 P48/ZTF        r    20.23      
AT2022abfc 20221210-07:04  16 P48/ZTF        g    19.60      
AT2022abfc 20221211-07:03  16 P48/ZTF        g    19.85      
AT2022abfc 20221217-06:01  21 P48/ZTF        g    20.35      
AT2022abfc 20221217-07:03  21 P48/ZTF        r    20.19      
AT2022abfc 20221220-06:11  24 P48/ZTF        r    19.21      
AT2022abfc 20221220-07:03  24 P48/ZTF        g    19.66      
AT2023fhn  20230408-06:00  -3 P48/ZTF        i    19.54      
AT2023fhn  20230408-06:29  -3 P48/ZTF        g    18.76      
AT2023fhn  20230408-07:12  -3 P48/ZTF        r    19.17      
AT2023fhn  20230410-04:53  -2 P48/ZTF        r    19.68 0.09 
AT2023fhn  20230411-04:35  -1 P48/ZTF        i    19.65 0.10 
AT2023fhn  20230412-03:51   0 P48/ZTF        r    19.13 0.05 
AT2023fhn  20230412-04:35   0 P48/ZTF        g    18.69 0.03 
AT2023fhn  20230412-05:22   0 P48/ZTF        g    18.63 0.03 
AT2023fhn  20230412-05:27   0 P48/ZTF        g    18.72 0.03 
AT2023fhn  20230417-05:05   4 P48/ZTF        g    20.09 0.09 
AT2023fhn  20230417-05:49   4 P48/ZTF        r    20.72 0.15 
AT2023fhn  20230419-04:40   6 P60/SEDM       g    19.30      
AT2023fhn  20230419-04:44   6 P60/SEDM       r    19.93      
AT2023fhn  20230419-05:20   6 P48/ZTF        r    20.57 0.22 
AT2023fhn  20230421-03:50   7 P48/ZTF        i    20.32      
AT2023fhn  20230421-05:04   7 P48/ZTF        r    21.24 0.31 
AT2023fhn  20230421-06:36   7 P48/ZTF        g    20.86 0.32 
AT2023fhn  20230423-03:51   9 P48/ZTF        r    20.96      
AT2023fhn  20230423-05:02   9 P48/ZTF        g    21.07      
AT2023fhn  20230424-00:39  10 LT/IO:O        g    21.52 0.14 
AT2023fhn  20230424-00:44  10 LT/IO:O        r    21.57 0.20 
AT2023fhn  20230424-03:52  10 P48/ZTF        i    20.24      
AT2023fhn  20230425-04:07  10 P48/ZTF        g    20.76      
AT2023fhn  20230425-04:36  10 P48/ZTF        r    20.52      
AT2023fhn  20230427-04:00  12 P48/ZTF        g    20.66      
AT2023fhn  20230427-04:47  12 P48/ZTF        r    20.58      
AT2023fhn  20230501-07:59  15 P48/ZTF        g    19.08      
AT2023fhn  20230509-04:26  22 P48/ZTF        r    20.85      
AT2023hkw  20230423-03:54  -5 P48/ZTF        r    21.05      
AT2023hkw  20230423-05:10  -5 P48/ZTF        g    21.16      
AT2023hkw  20230423-05:46  -5 P48/ZTF        i    20.40      
AT2023hkw  20230425-04:11  -4 P48/ZTF        g    20.97      
AT2023hkw  20230425-04:51  -4 P48/ZTF        r    20.91      
AT2023hkw  20230427-04:13  -2 P48/ZTF        g    20.84      
AT2023hkw  20230427-04:43  -2 P48/ZTF        r    20.75      
AT2023hkw  20230427-07:12  -2 P48/ZTF        r    20.67      
AT2023hkw  20230427-09:17  -2 P48/ZTF        i    20.35      
AT2023hkw  20230429-04:10  -1 P48/ZTF        g    20.64 0.27 
AT2023hkw  20230429-05:44  -1 P48/ZTF        r    20.94 0.34 
AT2023hkw  20230430-04:08   0 P48/ZTF        g    19.50 0.19 
